Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),22515,6.769531423495447,6
"Benjamin, Ronald",241,4.867219917012448,3
"Burgin, Josh M.",392,5.979591836734694,4.0
"Carlone, Dennis J.",1175,7.148085106382979,6
"D'Ambrosio, Olivia",216,8.268518518518519,7.5
"Devereux, Jan",1698,7.224381625441696,6.0
"Gebru, Samuel",787,6.354510800508259,5
"Harding, Jr., Richard",835,5.7389221556886225,4
"Kelley, Craig A.",1092,6.707875457875458,6.0
"Lenke, Dan",53,7.566037735849057,6
"Levy, Ilan",246,7.308943089430894,6.0
"Mallon, Alanna M.",1328,7.313253012048193,6.0
"McGovern, Marc C.",1879,7.1144225651942525,6
"Moree, Gregg J.",46,5.478260869565218,4.0
"Musgrave, Adriane B.",580,8.224137931034482,8.0
"Okamoto, Nadya T.",550,6.889090909090909,6.0
"Pillai, Hari I.",107,8.289719626168225,7
"Santos, Jeff",147,7.054421768707483,6
"Siddiqui, Sumbul",2532,6.852685624012638,6.0
"Simmons, E. Denise",2616,6.823394495412844,6.0
"Sivongxay, Vatsady",740,7.754054054054054,7.0
"Sutton, Bryan",45,7.088888888888889,6
"Tierney, Sean",778,6.620822622107969,6.0
"Toner, Paul F.",980,5.53265306122449,5.0
"Toomey, Jr., Timothy J.",1618,4.673053152039555,3.0
"Volmar, Gwen Thomas",248,7.028225806451613,6.0
"Zondervan, Quinton Y.",1565,7.699680511182109,7
writeIns,21,6.190476190476191,7
