Ballots with first choice:,Number of Ballots,Mean Rankings Used,Median Rankings Used
Any candidate (non-undervotes),15280,4.064790575916231,3.0
"Fantini, Alfred B.",2372,3.3532883642495785,3.0
"Forster, Bill",329,4.592705167173253,4
"Gerber, Joyce C.",434,4.716589861751152,4.0
"Harding, Jr., Richard",1850,3.9491891891891893,3.0
"Holland, John J.",387,4.111111111111111,3
"McGovern, Marc C.",1769,4.202374222724703,4
"Nolan, Patricia M.",2125,4.366117647058823,4
"Osborne, Mervan F.",2065,4.177239709443099,4
"Stead, Sr., Charles Lewis",293,4.228668941979522,3
"Tauber, Nancy",1489,4.1880456682337135,4
"Turkel, Alice L.",2111,4.150165798199906,4
writeIns,56,2.267857142857143,1.0
