contest_name,place,state,year,date,office,rcv_type,number_of_winners,tabulation_num,winner,unique_id,win_threshold,number_of_candidates,number_of_rounds,winners_consensus_value,total_ballots,first_round_active_votes,final_round_active_votes,total_fully_ranked,ranked_single,ranked_multiple,total_undervote,first_round_overvote,total_ballots_with_overvote,total_exhausted,total_exhausted_by_overvote,total_exhausted_by_skipped_rankings,total_exhausted_by_abstention,total_exhausted_by_rank_limit,includes_duplicate_ranking,includes_skipped_ranking,total_irregular
Cambridge City Council 2001,Cambridge,MA,2001,11/6/2001,City Council,stv_whole_ballot,9,1,"Galluccio, Anthony D., Davis, Henrietta, Murphy, Brian, Sullivan, Michael A., Decker, Marjorie C., Simmons, Denise, Toomey, Timothy J., Jr., Reeves, Kenneth E., Maher, David P.",Cambridge_11062001_CityCouncil_tab1,1713.0,19,19,0.9675931332476936,17688.0,17126.0,15767.0,443.0,1314.0,15812.0,199.0,533.0,749.0,1722.0,0.0,0.0,1718.0,4.0,0.0,866.0,1414.0
Cambridge City Council 2003,Cambridge,MA,2003,11/4/2003,City Council,stv_whole_ballot,9,1,"Galluccio, Anthony D., Davis, Henrietta, Sullivan, Michael A., Decker, Marjorie C., Murphy, Brian, Toomey, Timothy J., Jr., Reeves, Kenneth E., Simmons, Denise, Maher, David P.",Cambridge_11042003_CityCouncil_tab1,2009.0,20,19,0.9219123505976096,20958.0,20080.0,18338.0,588.0,1658.0,18422.0,421.0,641.0,893.0,2199.0,0.0,0.0,2184.0,15.0,0.0,1049.0,1709.0
Cambridge School Committee 2003,Cambridge,MA,2003,11/4/2003,School Committee,stv_whole_ballot,6,1,"Walser, Nancy, Fantini, Alfred B., Mcgovern, Marc C., Lummis, Ben, Harding, Richard, Jr., Grassi, Joseph G.",Cambridge_11042003_SchoolCommittee_tab1,2672.0,8,8,0.9823510535886191,20908.0,18698.0,18193.0,1587.0,3366.0,15332.0,1835.0,510.0,651.0,880.0,0.0,0.0,872.0,8.0,0.0,459.0,974.0
Cambridge City Council 2005,Cambridge,MA,2005,11/8/2005,City Council,stv_whole_ballot,9,1,"Galluccio, Anthony D., Sullivan, Michael A., Decker, Marjorie C., Davis, Henrietta, Toomey, Timothy J., Jr., Simmons, Denise, Murphy, Brian, Reeves, Kenneth E., Kelley, Craig A.",Cambridge_11082005_CityCouncil_tab1,1608.0,18,19,0.9628500311138768,16202.0,16070.0,14923.0,572.0,1201.0,14869.0,87.0,69.0,125.0,1192.0,0.0,0.0,1190.0,2.0,0.0,489.0,577.0
Cambridge School Committee 2005,Cambridge,MA,2005,11/8/2005,School Committee,stv_whole_ballot,6,1,"Nolan, Patricia M., Fantini, Alfred B., Walser, Nancy, Harding, Richard, Jr., Grassi, Joseph G., Schuster, Luc",Cambridge_11082005_SchoolCommittee_tab1,2211.0,8,8,0.9692954104718811,16189.0,15470.0,15190.0,1541.0,2461.0,13009.0,676.0,60.0,83.0,323.0,0.0,0.0,321.0,2.0,0.0,238.0,303.0
Cambridge City Council 2007,Cambridge,MA,2007,11/6/2007,City Council,stv_whole_ballot,9,1,"Davis, Henrietta, Toomey, Timothy J., Jr., Maher, David P., Reeves, Kenneth E., Decker, Marjorie C., Murphy, Brian, Simmons, E. Denise, Seidel, Sam, Kelley, Craig A.",Cambridge_11062007_CityCouncil_tab1,1364.0,16,16,0.9617105552703,13721.0,13633.0,12587.0,548.0,1082.0,12551.0,58.0,48.0,73.0,1076.0,0.0,0.0,1072.0,4.0,0.0,392.0,444.0
Cambridge School Committee 2007,Cambridge,MA,2007,11/6/2007,School Committee,stv_whole_ballot,6,1,"Mcgovern, Marc C., Fantini, Alfred B., Nolan, Patricia M., Schuster, Luc, Grassi, Joseph G., Tauber, Nancy",Cambridge_11062007_SchoolCommittee_tab1,1897.0,9,9,0.9529978909310033,13709.0,13276.0,12202.0,1101.0,2009.0,11267.0,405.0,45.0,64.0,1102.0,0.0,0.0,1100.0,2.0,0.0,210.0,260.0
Cambridge City Council 2009,Cambridge,MA,2009,11/3/2009,City Council,stv_whole_ballot,9,1,"Davis, Henrietta, Simmons, E. Denise, Toomey, Jr., Timothy J., Kelley, Craig A., Reeves, Kenneth E., Maher, David P., Seidel, Sam, Decker, Marjorie C., Cheung, Leland",Cambridge_11032009_CityCouncil_tab1,1596.0,21,20,0.9437793795048575,16073.0,15955.0,14432.0,475.0,1597.0,14358.0,89.0,47.0,81.0,1552.0,0.0,0.0,1548.0,4.0,0.0,497.0,557.0
Cambridge City Council 2011,Cambridge,MA,2011,11/8/2011,City Council,stv_whole_ballot,9,1,"Cheung, Leland, Toomey, Jr., Timothy J., Maher, David P., Davis, Henrietta, Simmons, E. Denise, Kelley, Craig A., Decker, Marjorie C., Reeves, Kenneth E., Vanbeuzekom, Minka Y.",Cambridge_11082011_CityCouncil_tab1,1585.0,18,18,0.9579678131902808,15971.0,15845.0,14644.0,559.0,1492.0,14353.0,82.0,61.0,96.0,1245.0,0.0,0.0,1241.0,4.0,0.0,455.0,528.0
Cambridge School Committee 2011,Cambridge,MA,2011,11/8/2011,School Committee,stv_whole_ballot,6,1,"Fantini, Alfred B., Nolan, Patricia M., Osborne, Mervan F., Turkel, Alice L., Mcgovern, Marc C., Harding, Jr., Richard",Cambridge_11082011_SchoolCommittee_tab1,2185.0,11,11,0.9540222367560497,15904.0,15290.0,13912.0,807.0,2497.0,12793.0,577.0,47.0,72.0,1415.0,0.0,0.0,1409.0,6.0,0.0,295.0,350.0
