Precinct,1st Choice,2nd Choice,3rd Choice,Count
MINNEAPOLIS W-3 P-02,Chris Meyer,undervote,undervote,1
MINNEAPOLIS W-3 P-05,Mohamed Issa Barre,Chris Meyer,Billy Menz,1
MINNEAPOLIS W-2 P-05,Billy Menz,undervote,undervote,1
MINNEAPOLIS W-1 P-04,Billy Menz,Chris Meyer,undervote,1
MINNEAPOLIS W-1 P-02,Billy Menz,Chris Meyer,Mohamed Issa Barre,1
MINNEAPOLIS W-1 P-03,Chris Meyer,undervote,undervote,1
MINNEAPOLIS W-3 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Billy Menz,undervote,undervote,1
MINNEAPOLIS W-3 P-05,Billy Menz,Chris Meyer,Mohamed Issa Barre,1
MINNEAPOLIS W-1 P-07,Chris Meyer,Billy Menz,Mohamed Issa Barre,1
MINNEAPOLIS W-1 P-03,Chris Meyer,Billy Menz,undervote,1
MINNEAPOLIS W-3 P-02,Billy Menz,undervote,undervote,1
MINNEAPOLIS W-3 P-05,Mohamed Issa Barre,undervote,undervote,1
MINNEAPOLIS W-3 P-06,Chris Meyer,undervote,undervote,1
MINNEAPOLIS W-3 P-03,Chris Meyer,Billy Menz,Mohamed Issa Barre,1
MINNEAPOLIS W-1 P-04,Chris Meyer,Billy Menz,UWI,1
MINNEAPOLIS W-1 P-04,Billy Menz,Chris Meyer,Mohamed Issa Barre,1
MINNEAPOLIS W-3 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Chris Meyer,Billy Menz,Mohamed Issa Barre,1
MINNEAPOLIS W-1 P-07,Chris Meyer,undervote,undervote,1
MINNEAPOLIS W-1 P-04,Chris Meyer,undervote,undervote,1
MINNEAPOLIS W-1 P-08,Chris Meyer,Mohamed Issa Barre,Billy Menz,1
MINNEAPOLIS W-3 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-05,Billy Menz,undervote,undervote,1
MINNEAPOLIS W-3 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-09,Chris Meyer,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Billy Menz,Chris Meyer,Mohamed Issa Barre,1
MINNEAPOLIS W-1 P-09,Chris Meyer,Billy Menz,Mohamed Issa Barre,1
MINNEAPOLIS W-1 P-03,Mohamed Issa Barre,undervote,undervote,1
MINNEAPOLIS W-1 P-01,Chris Meyer,Billy Menz,undervote,1
MINNEAPOLIS W-1 P-04,Billy Menz,undervote,undervote,1
MINNEAPOLIS W-3 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-02,Mohamed Issa Barre,Billy Menz,undervote,1
MINNEAPOLIS W-1 P-05,Chris Meyer,Billy Menz,Mohamed Issa Barre,1
MINNEAPOLIS W-1 P-09,Billy Menz,undervote,undervote,1
MINNEAPOLIS W-3 P-03,Billy Menz,Chris Meyer,undervote,1
MINNEAPOLIS W-3 P-01,Mohamed Issa Barre,undervote,undervote,1
MINNEAPOLIS W-1 P-04,Mohamed Issa Barre,Billy Menz,undervote,1
MINNEAPOLIS W-1 P-03,Chris Meyer,Billy Menz,Mohamed Issa Barre,1
MINNEAPOLIS W-3 P-04,Chris Meyer,undervote,undervote,1
MINNEAPOLIS W-2 P-05,Mohamed Issa Barre,Mohamed Issa Barre,Mohamed Issa Barre,1
MINNEAPOLIS W-3 P-04,Chris Meyer,Billy Menz,Mohamed Issa Barre,1
MINNEAPOLIS W-3 P-10,Chris Meyer,undervote,undervote,1
MINNEAPOLIS W-3 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-03,Chris Meyer,Billy Menz,undervote,1
MINNEAPOLIS W-1 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-04,Mohamed Issa Barre,Billy Menz,undervote,1
MINNEAPOLIS W-3 P-03,Mohamed Issa Barre,Chris Meyer,Billy Menz,1
MINNEAPOLIS W-3 P-06,Mohamed Issa Barre,undervote,undervote,1
MINNEAPOLIS W-3 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-06,Billy Menz,Mohamed Issa Barre,undervote,1
MINNEAPOLIS W-2 P-05,Billy Menz,undervote,undervote,1
MINNEAPOLIS W-1 P-08,Chris Meyer,Billy Menz,undervote,1
MINNEAPOLIS W-1 P-08,Chris Meyer,undervote,undervote,1
MINNEAPOLIS W-2 P-06,Billy Menz,Chris Meyer,undervote,1
MINNEAPOLIS W-3 P-03,Chris Meyer,Billy Menz,undervote,1
MINNEAPOLIS W-3 P-06,Mohamed Issa Barre,undervote,undervote,1
MINNEAPOLIS W-3 P-05,Chris Meyer,Billy Menz,Mohamed Issa Barre,1
MINNEAPOLIS W-3 P-03,Chris Meyer,undervote,undervote,1
MINNEAPOLIS W-3 P-03,Chris Meyer,Billy Menz,undervote,1
MINNEAPOLIS W-1 P-03,Chris Meyer,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Chris Meyer,Billy Menz,undervote,1
MINNEAPOLIS W-3 P-04,Chris Meyer,Mohamed Issa Barre,Billy Menz,1
MINNEAPOLIS W-3 P-03,Billy Menz,Chris Meyer,Mohamed Issa Barre,1
MINNEAPOLIS W-1 P-09,undervote,undervote,undervote,1
