"srprec","tract","block","blkreg","srtotreg","pctsrprec","blktotreg","pctblk"
"NULL","0","0","1","NULL","NULL","1","100"
"200100","421100","1000","9","766","1.174934725","9","100"
"200100","421100","1001","72","766","9.399477806","72","100"
"200100","421100","1002","48","766","6.266318537","56","85.714285714"
"200100","421100","1003","18","766","2.349869451","81","22.222222222"
"200100","421100","1007","48","766","6.266318537","54","88.888888888"
"200100","421100","1008","46","766","6.005221932","46","100"
"200100","421100","1009","90","766","11.749347258","90","100"
"200100","421100","1010","110","766","14.360313315","116","94.827586206"
"200100","421100","1011","99","766","12.924281984","99","100"
"200100","421100","1012","2","766","0.261096605","2","100"
"200100","421100","1013","19","766","2.480417754","19","100"
"200100","421100","2004","50","766","6.527415143","117","42.735042735"
"200100","421100","2007","125","766","16.318537859","125","100"
"200100","421100","2015","16","766","2.088772845","93","17.204301075"
"200100","421100","2019","14","766","1.82767624","34","41.176470588"
"200200","421500","1000","74","717","10.320781032","214","34.579439252"
"200200","421500","1004","32","717","4.463040446","62","51.612903225"
"200200","421500","1005","73","717","10.181311018","73","100"
"200200","421500","1006","17","717","2.370990237","17","100"
"200200","421500","1007","69","717","9.623430962","69","100"
"200200","421500","1008","68","717","9.483960948","68","100"
"200200","421500","1009","24","717","3.347280334","24","100"
"200200","421500","1012","19","717","2.649930264","19","100"
"200200","421500","1013","12","717","1.673640167","12","100"
"200200","421500","1016","62","717","8.647140864","62","100"
"200200","421500","1017","57","717","7.949790794","57","100"
"200200","421500","1018","17","717","2.370990237","32","53.125"
"200200","421500","1024","13","717","1.813110181","13","100"
"200200","421500","1025","46","717","6.415620641","69","66.666666666"
"200200","421500","2013","22","717","3.068340306","102","21.56862745"
"200200","421600","1000","54","717","7.531380753","237","22.784810126"
"200200","421600","1002","58","717","8.089260808","139","41.726618705"
"200300","421600","1000","183","588","31.122448979","237","77.215189873"
"200300","421600","1001","102","588","17.346938775","102","100"
"200300","421600","1002","5","588","0.850340136","139","3.597122302"
"200300","421600","1003","62","588","10.544217687","108","57.407407407"
"200300","421600","1004","35","588","5.952380952","35","100"
"200300","421600","1005","53","588","9.013605442","53","100"
"200300","421600","1006","64","588","10.884353741","64","100"
"200300","421600","1008","28","588","4.761904761","28","100"
"200300","421600","1010","15","588","2.551020408","15","100"
"200300","421600","2010","41","588","6.972789115","76","53.947368421"
"200600","421500","1025","13","685","1.897810218","69","18.84057971"
"200600","421600","1002","76","685","11.09489051","139","54.676258992"
"200600","421600","1003","46","685","6.715328467","108","42.592592592"
"200600","421600","2000","41","685","5.985401459","49","83.673469387"
"200600","421600","2001","104","685","15.182481751","104","100"
"200600","421600","2002","24","685","3.503649635","183","13.114754098"
"200600","421600","2003","17","685","2.481751824","30","56.666666666"
"200600","421600","2005","37","685","5.401459854","99","37.373737373"
"200600","421600","2006","51","685","7.445255474","51","100"
"200600","421600","2007","61","685","8.905109489","61","100"
"200600","421600","2008","48","685","7.00729927","48","100"
"200600","421600","2009","93","685","13.576642335","142","65.492957746"
"200600","421600","2010","35","685","5.109489051","76","46.052631578"
"200600","422500","2000","39","685","5.693430656","176","22.159090909"
"200700","421500","1025","10","673","1.485884101","69","14.492753623"
"200700","421500","2000","5","673","0.74294205","36","13.888888888"
"200700","421500","2001","31","673","4.606240713","31","100"
"200700","421500","2002","16","673","2.377414561","58","27.586206896"
"200700","421500","2003","65","673","9.658246656","65","100"
"200700","421500","2004","33","673","4.903417533","33","100"
"200700","421500","2005","14","673","2.080237741","50","28"
"200700","421500","2009","50","673","7.429420505","89","56.17977528"
"200700","421500","2010","29","673","4.309063893","29","100"
"200700","421500","2011","13","673","1.931649331","40","32.5"
"200700","421500","2013","58","673","8.618127786","102","56.862745098"
"200700","421500","2014","26","673","3.863298662","26","100"
"200700","421500","2015","51","673","7.578008915","58","87.931034482"
"200700","421500","2018","64","673","9.509658246","82","78.048780487"
"200700","421500","2019","17","673","2.526002971","32","53.125"
"200700","421500","3000","38","673","5.646359583","38","100"
"200700","421500","3001","4","673","0.59435364","4","100"
"200700","421500","3002","63","673","9.361069836","63","100"
"200700","421500","3003","30","673","4.457652303","70","42.857142857"
"200700","421500","3004","16","673","2.377414561","36","44.444444444"
"200700","421500","3005","13","673","1.931649331","14","92.857142857"
"200700","421500","3022","27","673","4.011887072","37","72.972972972"
"200800","421500","1000","140","618","22.653721682","214","65.420560747"
"200800","421500","1001","12","618","1.941747572","12","100"
"200800","421500","1002","4","618","0.64724919","4","100"
