"srprec,C,20","tract,C,20","block,C,20","blkreg,N,7,0","srtotreg,N,7,0","pctsrprec,N,6,2","blktotreg,N,7,0","pctblk,N,6,2"
NULL,0,0,1,0,0,1,100
200100,421100,1000,8,732,1.09,8,100
200100,421100,1001,74,732,10.11,74,100
200100,421100,1002,46,732,6.28,53,86.79
200100,421100,1003,18,732,2.46,81,22.22
200100,421100,1007,50,732,6.83,57,87.72
200100,421100,1008,42,732,5.74,42,100
200100,421100,1009,88,732,12.02,88,100
200100,421100,1010,106,732,14.48,113,93.81
200100,421100,1011,91,732,12.43,91,100
200100,421100,1012,2,732,0.27,2,100
200100,421100,1013,18,732,2.46,18,100
200100,421100,2004,42,732,5.74,108,38.89
200100,421100,2007,121,732,16.53,121,100
200100,421100,2015,11,732,1.5,92,11.96
200100,421100,2019,15,732,2.05,32,46.88
200200,421500,1000,78,702,11.11,211,36.97
200200,421500,1004,36,702,5.13,66,54.55
200200,421500,1005,68,702,9.69,68,100
200200,421500,1006,14,702,1.99,14,100
200200,421500,1007,62,702,8.83,62,100
200200,421500,1008,66,702,9.4,66,100
200200,421500,1009,21,702,2.99,21,100
200200,421500,1012,21,702,2.99,21,100
200200,421500,1013,14,702,1.99,14,100
200200,421500,1016,60,702,8.55,60,100
200200,421500,1017,55,702,7.83,55,100
200200,421500,1018,21,702,2.99,38,55.26
200200,421500,1024,12,702,1.71,12,100
200200,421500,1025,53,702,7.55,77,68.83
200200,421500,2013,19,702,2.71,100,19
200200,421600,1000,49,702,6.98,220,22.27
200200,421600,1002,53,702,7.55,133,39.85
200300,421600,1000,171,556,30.76,220,77.73
200300,421600,1001,96,556,17.27,96,100
200300,421600,1002,3,556,0.54,133,2.26
200300,421600,1003,56,556,10.07,102,54.9
200300,421600,1004,33,556,5.94,33,100
200300,421600,1005,50,556,8.99,50,100
200300,421600,1006,66,556,11.87,66,100
200300,421600,1008,26,556,4.68,26,100
200300,421600,1010,12,556,2.16,12,100
200300,421600,2010,43,556,7.73,78,55.13
200600,421500,1025,13,656,1.98,77,16.88
200600,421600,1002,77,656,11.74,133,57.89
200600,421600,1003,46,656,7.01,102,45.1
200600,421600,2000,39,656,5.95,47,82.98
200600,421600,2001,104,656,15.85,104,100
200600,421600,2002,16,656,2.44,172,9.3
200600,421600,2003,16,656,2.44,32,50
200600,421600,2005,35,656,5.34,94,37.23
200600,421600,2006,50,656,7.62,50,100
200600,421600,2007,57,656,8.69,57,100
200600,421600,2008,40,656,6.1,40,100
200600,421600,2009,91,656,13.87,137,66.42
200600,421600,2010,35,656,5.34,78,44.87
200600,422500,2000,37,656,5.64,174,21.26
200700,421500,1025,11,648,1.7,77,14.29
200700,421500,2000,4,648,0.62,34,11.76
200700,421500,2001,27,648,4.17,27,100
200700,421500,2002,17,648,2.62,59,28.81
200700,421500,2003,53,648,8.18,53,100
200700,421500,2004,34,648,5.25,34,100
200700,421500,2005,14,648,2.16,49,28.57
200700,421500,2009,49,648,7.56,83,59.04
200700,421500,2010,24,648,3.7,24,100
200700,421500,2011,12,648,1.85,38,31.58
200700,421500,2013,59,648,9.1,100,59
200700,421500,2014,31,648,4.78,31,100
200700,421500,2015,48,648,7.41,55,87.27
200700,421500,2018,56,648,8.64,72,77.78
