"srprec","tract","block","blkreg","srtotreg","pctsrprec","blktotreg","pctblk"
"200100","421100","1000","8","743","1.076716016","8","100"
"200100","421100","1001","68","743","9.152086137","68","100"
"200100","421100","1002","47","743","6.325706594","56","83.928571428"
"200100","421100","1003","17","743","2.288021534","78","21.794871794"
"200100","421100","1007","50","743","6.7294751","58","86.206896551"
"200100","421100","1008","41","743","5.518169582","41","100"
"200100","421100","1009","91","743","12.247644683","91","100"
"200100","421100","1010","115","743","15.477792732","121","95.041322314"
"200100","421100","1011","100","743","13.458950201","100","100"
"200100","421100","1012","1","743","0.134589502","1","100"
"200100","421100","1013","17","743","2.288021534","17","100"
"200100","421100","2004","41","743","5.518169582","111","36.936936936"
"200100","421100","2007","118","743","15.881561238","118","100"
"200100","421100","2015","14","743","1.884253028","88","15.909090909"
"200100","421100","2019","15","743","2.01884253","41","36.585365853"
"200200","421500","1000","70","696","10.057471264","210","33.333333333"
"200200","421500","1004","33","696","4.74137931","63","52.38095238"
"200200","421500","1005","61","696","8.764367816","61","100"
"200200","421500","1006","15","696","2.155172413","15","100"
"200200","421500","1007","69","696","9.913793103","69","100"
"200200","421500","1008","64","696","9.195402298","64","100"
"200200","421500","1009","25","696","3.591954022","25","100"
"200200","421500","1012","16","696","2.298850574","16","100"
"200200","421500","1013","13","696","1.867816091","13","100"
"200200","421500","1016","58","696","8.333333333","58","100"
"200200","421500","1017","54","696","7.758620689","54","100"
"200200","421500","1018","17","696","2.442528735","32","53.125"
"200200","421500","1024","12","696","1.724137931","12","100"
"200200","421500","1025","59","696","8.477011494","81","72.839506172"
"200200","421500","2013","23","696","3.304597701","111","20.72072072"
"200200","421600","1000","51","696","7.327586206","209","24.401913875"
"200200","421600","1002","56","696","8.045977011","121","46.280991735"
"200300","421600","1000","158","558","28.315412186","209","75.598086124"
"200300","421600","1001","111","558","19.892473118","111","100"
"200300","421600","1002","2","558","0.358422939","121","1.652892561"
"200300","421600","1003","51","558","9.139784946","98","52.040816326"
"200300","421600","1004","37","558","6.630824372","37","100"
"200300","421600","1005","47","558","8.422939068","47","100"
"200300","421600","1006","65","558","11.648745519","65","100"
"200300","421600","1008","33","558","5.913978494","33","100"
"200300","421600","1010","13","558","2.329749103","13","100"
"200300","421600","2010","41","558","7.34767025","75","54.666666666"
"200600","421500","1025","11","622","1.768488745","81","13.580246913"
"200600","421600","1002","63","622","10.128617363","121","52.066115702"
"200600","421600","1003","47","622","7.556270096","98","47.959183673"
"200600","421600","2000","35","622","5.627009646","44","79.545454545"
"200600","421600","2001","94","622","15.112540192","94","100"
"200600","421600","2002","23","622","3.697749196","162","14.197530864"
"200600","421600","2003","19","622","3.054662379","29","65.517241379"
"200600","421600","2005","36","622","5.78778135","114","31.578947368"
"200600","421600","2006","46","622","7.395498392","46","100"
"200600","421600","2007","54","622","8.681672025","54","100"
"200600","421600","2008","36","622","5.78778135","36","100"
"200600","421600","2009","91","622","14.63022508","137","66.423357664"
"200600","421600","2010","34","622","5.466237942","75","45.333333333"
"200600","422500","2000","33","622","5.305466237","218","15.137614678"
"200700","421100","2019","1","663","0.150829562","41","2.43902439"
"200700","421500","1025","11","663","1.659125188","81","13.580246913"
"200700","421500","2000","3","663","0.452488687","30","10"
"200700","421500","2001","30","663","4.524886877","30","100"
"200700","421500","2002","13","663","1.960784313","66","19.696969696"
"200700","421500","2003","61","663","9.200603318","61","100"
"200700","421500","2004","31","663","4.67571644","31","100"
"200700","421500","2005","14","663","2.111613876","55","25.454545454"
"200700","421500","2009","43","663","6.485671191","90","47.777777777"
"200700","421500","2010","33","663","4.977375565","33","100"
"200700","421500","2011","12","663","1.809954751","32","37.5"
"200700","421500","2013","60","663","9.049773755","111","54.054054054"
"200700","421500","2014","30","663","4.524886877","30","100"
"200700","421500","2015","51","663","7.692307692","57","89.47368421"
"200700","421500","2018","71","663","10.708898944","88","80.681818181"
"200700","421500","2019","15","663","2.262443438","29","51.724137931"
"200700","421500","3000","31","663","4.67571644","31","100"
"200700","421500","3001","2","663","0.301659125","2","100"
"200700","421500","3002","56","663","8.446455505","56","100"
"200700","421500","3003","30","663","4.524886877","79","37.974683544"
"200700","421500","3004","19","663","2.865761689","35","54.285714285"
"200700","421500","3005","12","663","1.809954751","13","92.307692307"
"200700","421500","3022","34","663","5.128205128","41","82.926829268"
"200800","421500","1000","140","627","22.328548644","210","66.666666666"
"200800","421500","1001","15","627","2.392344497","15","100"
"200800","421500","1002","3","627","0.478468899","3","100"
"200800","421500","1003","19","627","3.03030303","19","100"
"200800","421500","1004","30","627","4.784688995","63","47.619047619"
"200800","421500","1014","10","627","1.594896331","10","100"
"200800","421500","1015","6","627","0.956937799","6","100"
"200800","421500","1018","15","627","2.392344497","32","46.875"
"200800","421500","1019","36","627","5.741626794","36","100"
"200800","421500","1020","83","627","13.237639553","83","100"
"200800","421500","1021","3","627","0.478468899","3","100"
"200800","421500","1022","59","627","9.409888357","59","100"
"200800","421500","1023","17","627","2.711323763","17","100"
"200800","421500","1026","31","627","4.944178628","31","100"
"200800","421500","2000","27","627","4.306220095","30","90"
"200800","421500","2002","53","627","8.452950558","66","80.303030303"
"200800","421500","2011","20","627","3.189792663","32","62.5"
"200800","421500","2012","32","627","5.103668261","32","100"
"200800","421500","2013","28","627","4.465709728","111","25.225225225"
"201000","421100","1002","9","620","1.451612903","56","16.071428571"
"201000","421100","1003","61","620","9.838709677","78","78.205128205"
"201000","421100","1004","31","620","5","31","100"
"201000","421100","1005","8","620","1.29032258","8","100"
"201000","421100","1006","9","620","1.451612903","9","100"
"201000","421100","1007","8","620","1.29032258","58","13.793103448"
"201000","421100","1010","6","620","0.967741935","121","4.958677685"
"201000","421100","2000","23","620","3.709677419","23","100"
"201000","421100","2001","50","620","8.064516129","50","100"
"201000","421100","2002","52","620","8.387096774","52","100"
