"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"p16","V","200100","509","410","21","1","2","3","1","0","5","0","66","244","265","10","0","3","1","65","1","6","1","1","0","1","0","6","0","0","0","12","0","5","0","6","0","4","0","1","0","1","0","2","0","0","0","0","12","14","16","20","37","90","0","10","18","19","37","48","89","0","1","0","1","2","3","5","0","0","0","0","1","4","4","0","2","4","11","8","3","10","0","0","2","6","4","7","9","0","0","0","1","1","1","2","0","0","2","0","3","1","1","55","32","24","44","44","25","29","13","144","4","1","1","1","4","2","0","0","8","13","11","9","7","5","6","3","1","11","3","0","1","2","0","0","3","0","3"
"p16","V","200200","504","393","27","3","5","1","1","0","6","0","68","231","273","9","1","4","0","40","4","8","3","3","1","0","0","3","0","1","0","11","2","3","0","3","0","0","0","1","0","0","0","0","0","0","0","0","9","10","10","31","34","76","0","5","7","22","30","51","108","0","0","0","1","1","5","9","0","0","0","1","2","0","8","0","2","2","3","7","8","12","0","3","4","4","8","4","11","0","1","0","2","0","5","3","0","0","0","1","1","2","1","51","32","31","33","27","14","18","16","171","4","0","0","1","1","1","0","2","18","11","10","2","10","5","7","5","7","11","2","4","2","2","1","0","0","0","5"
"p16","V","200300","372","283","18","2","0","2","0","0","2","0","65","179","193","12","0","2","0","36","1","3","0","1","0","0","0","2","0","2","0","12","0","2","0","6","0","2","0","1","0","0","0","1","0","0","0","0","7","12","6","23","26","49","0","3","9","18","26","26","78","0","0","0","1","3","1","4","0","0","0","0","2","1","6","0","3","2","9","8","8","15","0","2","1","3","3","4","7","0","0","0","1","0","1","0","0","0","0","1","0","1","2","40","28","24","18","24","25","14","6","104","4","1","0","1","3","2","0","0","7","7","4","13","9","6","9","4","4","9","1","0","2","0","1","0","0","0","2"
"p16","V","200600","443","347","17","2","2","1","2","0","7","0","65","203","240","8","0","3","0","45","4","10","1","5","0","1","0","4","0","1","0","9","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","3","21","18","20","26","62","0","10","14","15","35","43","80","0","0","1","0","0","0","9","0","0","0","1","1","0","5","0","2","2","6","9","7","8","0","5","5","2","9","6","4","0","1","1","0","0","4","3","0","0","0","0","1","4","0","59","35","18","32","33","27","30","14","99","2","1","0","0","1","1","3","0","9","15","7","9","6","8","4","7","1","8","2","1","3","2","0","1","2","0","3"
"p16","V","200700","452","340","16","4","2","3","1","0","4","0","82","215","237","13","0","2","1","34","4","11","1","1","0","1","0","1","0","0","0","7","0","2","0","5","0","2","0","2","0","0","0","2","0","0","0","0","6","7","9","23","44","58","0","7","17","14","28","43","84","0","0","0","1","0","4","5","0","0","1","0","0","1","4","0","5","8","7","4","6","21","0","0","2","8","4","11","6","0","0","3","0","0","2","2","0","0","0","0","2","3","2","50","27","29","35","25","18","10","13","133","2","2","0","1","4","0","0","1","6","20","8","12","4","6","12","2","2","16","7","1","2","1","0","0","2","1","0"
"p16","V","200800","432","324","22","1","0","4","2","0","10","0","69","200","232","5","1","4","2","60","1","9","2","0","0","0","0","4","0","2","0","3","1","0","1","1","0","0","0","2","0","0","0","1","1","0","0","0","6","11","14","27","37","50","0","9","11","14","34","44","67","0","0","1","0","2","2","9","0","0","0","0","0","2","6","0","0","6","5","3","8","10","0","2","1","9","7","12","6","0","0","1","1","3","1","3","0","0","0","0","2","3","3","49","38","29","32","27","18","18","12","101","3","0","1","2","3","2","3","0","8","12","16","10","5","5","2","1","0","18","0","2","1","2","1","1","2","1","7"
"p16","V","201000","435","341","20","2","0","1","1","0","4","0","66","203","232","16","1","3","1","36","4","6","1","2","1","1","0","9","0","0","0","15","1","5","0","6","0","0","0","0","0","0","0","1","1","0","0","0","9","6","11","23","36","64","0","12","10","20","34","35","81","0","1","0","0","0","2","7","0","0","0","0","0","3","7","0","3","5","0","11","7","13","0","2","4","1","3","5","12","0","0","0","1","0","3","1","0","0","1","0","1","1","0","52","39","29","27","22","17","19","12","124","2","1","3","1","2","2","0","1","8","21","6","7","5","4","2","6","2","13","0","1","1","2","0","1","1","2","0"
"p16","V","201100","440","351","14","2","0","1","0","0","3","0","69","211","229","4","0","4","0","45","0","5","1","0","0","2","0","1","0","1","1","4","1","3","0","6","0","3","0","0","0","0","0","2","0","0","0","0","9","12","16","25","16","79","0","8","13","16","33","32","92","0","1","0","1","2","1","3","0","0","0","0","2","0","4","0","2","4","8","11","6","11","0","0","6","3","7","4","7","0","0","0","1","0","3","0","0","0","0","1","0","1","0","51","37","27","21","32","29","17","13","124","1","0","0","1","1","2","0","1","8","15","13","10","5","5","5","1","2","13","0","1","2","0","0","0","2","0","1"
"p16","V","201300","406","319","9","0","2","3","1","0","6","0","66","199","207","10","0","1","0","47","0","9","1","0","0","0","0","3","0","0","0","6","2","2","1","4","0","1","0","1","0","0","0","2","0","2","0","0","11","17","7","33","33","52","0","6","19","17","30","35","59","0","0","1","1","1","0","4","0","0","0","0","0","1","1","0","2","8","10","5","4","3","0","3","8","8","7","5","3","0","1","1","1","0","2","2","0","0","1","2","0","1","1","52","38","32","29","30","15","18","15","90","0","0","0","2","0","1","2","1","3","19","17","7","6","4","0","3","1","9","3","2","1","2","0","0","0","0","4"
"p16","V","201400","432","350","16","1","0","1","0","0","8","0","56","205","227","21","1","2","0","41","3","8","3","0","0","1","0","3","0","1","0","8","1","1","0","6","0","0","0","1","0","0","0","0","0","0","0","0","6","17","14","21","28","67","0","11","20","19","20","41","86","0","0","1","1","1","3","7","0","0","0","0","0","0","3","0","2","5","9","4","2","10","0","0","1","9","4","2","8","0","0","3","1","1","0","2","0","0","0","1","0","0","2","75","29","35","15","20","21","19","11","125","3","2","0","2","2","0","0","0","7","11","9","8","4","3","6","4","0","11","2","1","1","1","1","0","2","0","2"
