"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g16","V","1101","440","269","24","8","2","0","1","0","1","0","135","224","216","75","3","28","5","0","1","3","0","1","0","4","0","0","0","0","0","35","4","33","0","2","0","1","0","5","0","1","0","15","1","9","0","0","6","25","18","28","18","25","0","17","36","17","23","25","31","0","1","6","4","2","3","1","0","0","0","0","2","1","4","0","7","15","16","13","11","17","0","2","13","12","12","11","6","0","0","0","3","1","1","3","0","0","0","1","1","0","2","88","15","15","14","23","14","23","8","69","7","0","1","2","4","2","1","1","6","43","13","8","8","5","10","18","5","25","3","1","1","2","1","1","1","0","2"
"g16","V","1102","797","506","50","12","2","0","2","0","4","1","220","426","371","155","14","48","8","15","0","4","0","6","0","4","0","2","1","0","1","37","6","60","4","5","0","2","0","10","0","2","1","12","2","7","0","0","18","40","42","54","47","47","0","19","41","48","47","51","52","0","3","3","2","6","6","9","0","0","0","1","3","5","12","0","9","32","23","19","22","29","0","17","15","21","9","9","15","0","1","2","2","4","3","3","0","0","2","0","2","1","1","137","28","44","25","39","29","44","15","145","12","5","2","2","0","1","2","3","23","67","16","28","12","9","9","20","13","46","5","1","0","1","2","2","3","2","5"
"g16","V","1103","766","471","57","8","1","0","6","0","8","0","215","390","376","128","12","53","3","26","0","2","4","0","0","4","2","4","0","1","0","43","6","57","3","2","0","2","0","14","0","3","0","15","1","5","1","0","16","43","40","31","40","54","0","17","39","39","40","43","69","0","1","1","4","3","9","11","0","0","0","0","5","6","17","0","8","25","27","25","11","27","0","12","15","17","22","11","15","0","0","2","5","3","2","2","0","0","1","6","0","1","1","146","22","35","28","22","11","48","13","146","15","3","2","5","0","2","4","1","25","74","18","24","8","23","9","22","4","33","5","4","3","0","2","1","2","1","5"
"g16","V","1104","739","432","53","12","1","0","4","0","9","0","228","394","345","166","16","60","7","12","0","2","3","1","0","4","0","1","0","0","0","47","10","59","2","5","0","4","0","4","2","6","3","30","5","21","0","0","13","41","31","44","32","47","0","23","51","29","33","39","49","0","1","3","4","4","5","17","0","0","2","3","3","6","5","0","17","25","23","20","25","25","0","8","23","16","12","12","22","0","2","4","0","7","2","2","0","2","1","2","3","1","0","153","23","44","21","30","10","31","14","106","13","2","4","2","2","1","7","3","19","83","20","18","13","22","14","13","5","40","10","1","3","1","5","0","3","0","3"
"g16","V","1106","590","371","35","10","1","0","3","0","3","0","167","307","283","52","2","13","2","16","3","4","0","8","0","4","2","11","0","1","0","57","6","68","1","0","0","0","0","13","2","8","0","3","2","6","0","0","32","34","26","23","23","35","0","41","28","19","24","28","58","0","1","2","6","2","4","7","0","1","2","0","0","4","6","0","11","15","13","23","16","23","0","8","12","11","13","9","13","0","3","2","2","3","1","0","0","1","2","1","0","1","1","138","20","28","13","30","6","25","13","98","4","4","7","1","1","2","2","2","12","47","13","18","13","18","7","19","2","30","6","1","2","0","1","1","2","0","4"
"g16","V","1107","566","361","31","4","2","1","0","0","5","0","162","295","271","39","3","19","4","14","3","7","0","1","0","1","0","4","0","1","0","43","3","61","0","3","0","1","0","6","0","6","0","7","3","4","0","0","27","33","22","21","24","37","0","40","31","15","28","28","55","0","0","5","2","5","3","4","0","1","3","2","2","1","3","0","16","17","17","17","18","19","0","11","11","6","11","13","6","0","0","4","2","2","0","0","0","3","0","0","1","0","0","126","21","32","10","24","11","19","13","105","8","3","4","3","1","0","2","1","9","58","14","18","9","11","5","20","4","23","9","1","0","0","1","0","1","0","0"
"g16","V","1108","732","482","21","11","2","1","1","0","7","0","207","375","357","56","2","27","6","19","0","2","0","5","0","2","0","2","0","3","0","63","1","76","1","3","0","0","0","6","1","8","1","8","1","2","0","0","40","35","35","43","36","49","0","21","33","30","40","47","73","0","0","0","1","3","2","6","0","0","1","1","1","3","3","0","9","21","24","23","22","15","0","17","17","15","16","13","15","0","1","4","2","3","1","0","0","1","2","0","4","4","0","135","20","35","19","40","16","32","18","167","3","2","1","2","1","1","3","0","8","64","22","24","6","18","10","19","9","35","7","1","2","0","4","1","2","0","5"
"g16","V","1109","610","366","32","8","1","0","2","1","4","0","196","330","280","49","3","25","4","9","1","0","0","1","0","6","0","2","0","1","0","57","3","86","1","3","0","3","0","10","2","11","1","5","0","2","0","0","16","35","38","39","21","41","0","21","34","22","28","33","38","0","1","2","4","2","5","7","0","0","1","1","1","3","5","0","11","23","20","15","18","24","0","5","18","17","15","13","17","0","1","1","3","2","0","1","0","1","2","0","3","0","2","111","29","33","11","27","14","32","8","101","5","1","3","5","1","0","2","1","14","52","17","18","16","27","6","13","9","38","7","0","3","1","0","0","2","0","3"
"g16","V","1111","706","413","41","6","0","3","5","0","9","0","229","401","305","89","13","29","2","17","0","3","3","7","1","6","0","1","0","0","0","83","7","106","0","0","0","0","0","10","1","15","2","15","4","7","0","0","31","42","27","22","36","43","0","36","43","14","26","39","54","0","1","2","6","2","5","9","0","0","2","4","1","2","7","0","17","34","27","19","24","40","0","11","17","4","10","14","12","0","0","6","4","1","1","2","0","3","2","1","2","0","1","155","27","32","23","22","15","27","15","97","7","1","4","2","3","3","6","0","15","85","22","25","9","9","11","18","2","48","7","4","3","1","2","0","4","0","2"
"g16","V","1112","541","296","21","4","3","0","4","1","2","0","210","288","253","71","5","22","2","5","0","3","0","1","0","0","0","0","0","0","0","63","3","102","4","4","0","0","0","9","1","8","1","18","3","6","0","0","12","29","24","23","28","23","0","25","29","27","16","30","30","0","0","4","1","0","4","3","0","0","2","1","0","1","5","0","12","24","21","24","19","30","0","14","11","15","17","14","9","0","1","1","3","0","1","1","0","4","0","1","0","2","0","107","22","20","15","30","14","27","5","56","5","2","2","2","1","0","1","3","5","62","15","19","11","12","15","22","10","44","3","3","0","2","0","1","2","0","3"
