"srprec,C,20","tract,C,20","block,C,20","blkreg,N,7,0","srtotreg,N,7,0","pctsrprec,N,6,2","blktotreg,N,7,0","pctblk,N,6,2"
NULL,0,0,2,0,0,2,100
200100,421100,1000,8,760,1.05,8,100
200100,421100,1001,66,760,8.68,66,100
200100,421100,1002,48,760,6.32,55,87.27
200100,421100,1003,20,760,2.63,88,22.73
200100,421100,1007,50,760,6.58,58,86.21
200100,421100,1008,40,760,5.26,40,100
200100,421100,1009,94,760,12.37,94,100
200100,421100,1010,113,760,14.87,120,94.17
200100,421100,1011,104,760,13.68,104,100
200100,421100,1012,3,760,0.39,3,100
200100,421100,1013,18,760,2.37,18,100
200100,421100,2004,43,760,5.66,119,36.13
200100,421100,2007,125,760,16.45,125,100
200100,421100,2015,14,760,1.84,91,15.38
200100,421100,2019,14,760,1.84,39,35.9
200200,421500,1000,74,711,10.41,213,34.74
200200,421500,1004,37,711,5.2,67,55.22
200200,421500,1005,63,711,8.86,63,100
200200,421500,1006,15,711,2.11,15,100
200200,421500,1007,64,711,9,64,100
200200,421500,1008,64,711,9,64,100
200200,421500,1009,23,711,3.23,23,100
200200,421500,1012,21,711,2.95,21,100
200200,421500,1013,14,711,1.97,14,100
200200,421500,1016,61,711,8.58,61,100
200200,421500,1017,56,711,7.88,56,100
200200,421500,1018,19,711,2.67,37,51.35
200200,421500,1024,12,711,1.69,12,100
200200,421500,1025,60,711,8.44,83,72.29
200200,421500,2013,20,711,2.81,115,17.39
200200,421600,1000,50,711,7.03,221,22.62
200200,421600,1002,58,711,8.16,133,43.61
200300,421600,1000,171,584,29.28,221,77.38
200300,421600,1001,117,584,20.03,117,100
200300,421600,1002,4,584,0.68,133,3.01
200300,421600,1003,48,584,8.22,95,50.53
200300,421600,1004,38,584,6.51,38,100
200300,421600,1005,56,584,9.59,56,100
200300,421600,1006,64,584,10.96,64,100
200300,421600,1008,32,584,5.48,32,100
200300,421600,1010,14,584,2.4,14,100
200300,421600,2010,40,584,6.85,77,51.95
200600,421500,1025,11,658,1.67,83,13.25
200600,421600,1002,71,658,10.79,133,53.38
200600,421600,1003,47,658,7.14,95,49.47
200600,421600,2000,35,658,5.32,43,81.4
200600,421600,2001,96,658,14.59,96,100
200600,421600,2002,25,658,3.8,175,14.29
200600,421600,2003,18,658,2.74,29,62.07
200600,421600,2005,39,658,5.93,102,38.24
200600,421600,2006,52,658,7.9,52,100
200600,421600,2007,58,658,8.81,58,100
200600,421600,2008,37,658,5.62,37,100
200600,421600,2009,98,658,14.89,148,66.22
200600,421600,2010,37,658,5.62,77,48.05
200600,422500,2000,34,658,5.17,173,19.65
200700,421500,1025,12,682,1.76,83,14.46
200700,421500,2000,3,682,0.44,32,9.38
200700,421500,2001,31,682,4.55,31,100
200700,421500,2002,14,682,2.05,64,21.88
200700,421500,2003,62,682,9.09,62,100
200700,421500,2004,32,682,4.69,32,100
200700,421500,2005,13,682,1.91,55,23.64
200700,421500,2009,44,682,6.45,91,48.35
200700,421500,2010,34,682,4.99,34,100
200700,421500,2011,13,682,1.91,33,39.39
200700,421500,2013,71,682,10.41,115,61.74
200700,421500,2014,28,682,4.11,28,100
200700,421500,2015,52,682,7.62,59,88.14
200700,421500,2018,67,682,9.82,83,80.72
200700,421500,2019,16,682,2.35,30,53.33
200700,421500,3000,29,682,4.25,29,100
200700,421500,3001,3,682,0.44,3,100
200700,421500,3002,62,682,9.09,62,100
200700,421500,3003,29,682,4.25,70,41.43
200700,421500,3004,21,682,3.08,39,53.85
200700,421500,3005,11,682,1.61,20,55
