"srprec","tract","block","blkreg","srtotreg","pctsrprec","blktotreg","pctblk"
"200100","421100","1000","8","715","1.118881118","8","100"
"200100","421100","1001","66","715","9.23076923","66","100"
"200100","421100","1002","41","715","5.734265734","48","85.416666666"
"200100","421100","1003","19","715","2.657342657","81","23.456790123"
"200100","421100","1007","50","715","6.993006993","57","87.719298245"
"200100","421100","1008","40","715","5.594405594","40","100"
"200100","421100","1009","88","715","12.307692307","88","100"
"200100","421100","1010","109","715","15.244755244","116","93.965517241"
"200100","421100","1011","96","715","13.426573426","96","100"
"200100","421100","1012","4","715","0.559440559","4","100"
"200100","421100","1013","17","715","2.377622377","17","100"
"200100","421100","2004","40","715","5.594405594","111","36.036036036"
"200100","421100","2007","111","715","15.524475524","111","100"
"200100","421100","2015","12","715","1.678321678","90","13.333333333"
"200100","421100","2019","14","715","1.958041958","35","40"
"200200","421500","1000","78","696","11.206896551","208","37.5"
"200200","421500","1004","37","696","5.316091954","68","54.411764705"
"200200","421500","1005","67","696","9.626436781","67","100"
"200200","421500","1006","13","696","1.867816091","13","100"
"200200","421500","1007","64","696","9.195402298","64","100"
"200200","421500","1008","61","696","8.764367816","61","100"
"200200","421500","1009","21","696","3.017241379","21","100"
"200200","421500","1012","22","696","3.16091954","22","100"
"200200","421500","1013","13","696","1.867816091","13","100"
"200200","421500","1016","58","696","8.333333333","58","100"
"200200","421500","1017","53","696","7.614942528","53","100"
"200200","421500","1018","20","696","2.873563218","37","54.054054054"
"200200","421500","1024","13","696","1.867816091","13","100"
"200200","421500","1025","54","696","7.758620689","79","68.354430379"
"200200","421500","2013","22","696","3.16091954","108","20.37037037"
"200200","421600","1000","48","696","6.896551724","207","23.188405797"
"200200","421600","1002","52","696","7.471264367","125","41.6"
"200300","421600","1000","159","544","29.227941176","207","76.811594202"
"200300","421600","1001","108","544","19.852941176","108","100"
"200300","421600","1002","3","544","0.551470588","125","2.4"
"200300","421600","1003","48","544","8.823529411","93","51.612903225"
"200300","421600","1004","35","544","6.433823529","35","100"
"200300","421600","1005","51","544","9.375","51","100"
"200300","421600","1006","60","544","11.029411764","60","100"
"200300","421600","1008","29","544","5.330882352","29","100"
"200300","421600","1010","13","544","2.389705882","13","100"
"200300","421600","2010","38","544","6.985294117","73","52.05479452"
"200600","421500","1025","13","636","2.044025157","79","16.455696202"
"200600","421600","1002","70","636","11.006289308","125","56"
"200600","421600","1003","45","636","7.075471698","93","48.387096774"
"200600","421600","2000","36","636","5.660377358","44","81.818181818"
"200600","421600","2001","92","636","14.465408805","92","100"
"200600","421600","2002","23","636","3.616352201","168","13.69047619"
"200600","421600","2003","18","636","2.830188679","31","58.064516129"
"200600","421600","2005","38","636","5.974842767","97","39.175257731"
"200600","421600","2006","48","636","7.547169811","48","100"
"200600","421600","2007","58","636","9.119496855","58","100"
"200600","421600","2008","34","636","5.345911949","34","100"
"200600","421600","2009","91","636","14.3081761","139","65.467625899"
"200600","421600","2010","35","636","5.503144654","73","47.945205479"
"200600","422500","2000","35","636","5.503144654","159","22.012578616"
"200700","421500","1025","12","643","1.866251944","79","15.189873417"
"200700","421500","2000","4","643","0.622083981","32","12.5"
"200700","421500","2001","28","643","4.354587869","28","100"
"200700","421500","2002","14","643","2.177293934","62","22.580645161"
"200700","421500","2003","52","643","8.087091757","52","100"
"200700","421500","2004","34","643","5.287713841","34","100"
"200700","421500","2005","15","643","2.33281493","55","27.272727272"
"200700","421500","2009","42","643","6.531881804","84","50"
"200700","421500","2010","28","643","4.354587869","28","100"
"200700","421500","2011","13","643","2.021772939","36","36.111111111"
"200700","421500","2013","64","643","9.953343701","108","59.259259259"
"200700","421500","2014","29","643","4.510108864","29","100"
"200700","421500","2015","51","643","7.931570762","58","87.931034482"
"200700","421500","2018","59","643","9.175738724","72","81.944444444"
"200700","421500","2019","13","643","2.021772939","27","48.148148148"
"200700","421500","3000","28","643","4.354587869","28","100"
"200700","421500","3001","3","643","0.466562986","3","100"
"200700","421500","3002","60","643","9.33125972","60","100"
"200700","421500","3003","31","643","4.821150855","70","44.285714285"
"200700","421500","3004","18","643","2.799377916","36","50"
"200700","421500","3005","11","643","1.710730948","12","91.666666666"
"200700","421500","3022","34","643","5.287713841","41","82.926829268"
"200800","421500","1000","130","609","21.346469622","208","62.5"
"200800","421500","1001","10","609","1.642036124","10","100"
"200800","421500","1002","4","609","0.656814449","4","100"
"200800","421500","1003","23","609","3.776683087","23","100"
"200800","421500","1004","31","609","5.090311986","68","45.588235294"
"200800","421500","1014","10","609","1.642036124","10","100"
"200800","421500","1015","6","609","0.985221674","6","100"
"200800","421500","1018","17","609","2.791461412","37","45.945945945"
"200800","421500","1019","36","609","5.911330049","36","100"
"200800","421500","1020","79","609","12.972085385","79","100"
"200800","421500","1021","3","609","0.492610837","3","100"
"200800","421500","1022","63","609","10.344827586","63","100"
"200800","421500","1023","13","609","2.134646962","13","100"
"200800","421500","1026","33","609","5.418719211","33","100"
"200800","421500","2000","28","609","4.597701149","32","87.5"
"200800","421500","2002","48","609","7.881773399","62","77.419354838"
"200800","421500","2011","23","609","3.776683087","36","63.888888888"
"200800","421500","2012","30","609","4.926108374","30","100"
"200800","421500","2013","22","609","3.612479474","108","20.37037037"
"201000","421100","1002","7","585","1.196581196","48","14.583333333"
"201000","421100","1003","62","585","10.598290598","81","76.543209876"
"201000","421100","1004","29","585","4.957264957","29","100"
"201000","421100","1005","7","585","1.196581196","7","100"
"201000","421100","1006","6","585","1.025641025","6","100"
