"srprec","tract","block","blkreg","srtotreg","pctsrprec","blktotreg","pctblk"
"NULL","0","0","2","NULL","NULL","2","100"
"1101","25500","5008","188","560","33.571428571","188","100"
"1101","25500","6013","15","560","2.678571428","15","100"
"1101","25500","6014","12","560","2.142857142","12","100"
"1101","25500","6023","163","560","29.107142857","163","100"
"1101","25500","6024","65","560","11.607142857","65","100"
"1101","25500","6025","3","560","0.535714285","3","100"
"1101","25500","6029","114","560","20.357142857","114","100"
"1102","25500","4007","63","982","6.415478615","63","100"
"1102","25500","4008","2","982","0.203665987","2","100"
"1102","25500","5000","75","982","7.637474541","75","100"
"1102","25500","5001","67","982","6.82281059","67","100"
"1102","25500","5002","19","982","1.934826883","19","100"
"1102","25500","5003","15","982","1.527494908","15","100"
"1102","25500","5004","60","982","6.109979633","60","100"
"1102","25500","5005","24","982","2.443991853","24","100"
"1102","25500","5006","83","982","8.452138492","83","100"
"1102","25500","5007","103","982","10.48879837","103","100"
"1102","25500","5009","77","982","7.841140529","77","100"
"1102","25500","5010","76","982","7.739307535","76","100"
"1102","25500","6022","93","982","9.470468431","93","100"
"1102","25500","6027","48","982","4.887983706","48","100"
"1102","25500","6028","29","982","2.953156822","29","100"
"1102","25500","6030","82","982","8.350305498","82","100"
"1102","25500","6031","66","982","6.720977596","66","100"
"1103","25500","3000","44","983","4.476093591","44","100"
"1103","25500","3002","39","983","3.967446592","39","100"
"1103","25500","3003","98","983","9.96948118","98","100"
"1103","25500","4000","107","983","10.885045778","107","100"
"1103","25500","6009","82","983","8.341810783","82","100"
"1103","25500","6010","94","983","9.56256358","94","100"
"1103","25500","6017","49","983","4.98474059","49","100"
"1103","25500","6018","208","983","21.159715157","208","100"
"1103","25500","6019","34","983","3.458799593","34","100"
"1103","25500","6020","32","983","3.255340793","32","100"
"1103","25500","6021","41","983","4.170905391","41","100"
"1103","25500","6032","155","983","15.768056968","155","100"
"1104","25500","1025","29","1023","2.834799608","29","100"
"1104","25500","2027","128","1023","12.512218963","128","100"
"1104","25500","2028","92","1023","8.99315738","92","100"
"1104","25500","2029","41","1023","4.007820136","41","100"
"1104","25500","2030","58","1023","5.669599217","58","100"
"1104","25500","3005","113","1023","11.045943304","113","100"
"1104","25500","3006","91","1023","8.895405669","91","100"
"1104","25500","3008","100","1023","9.775171065","100","100"
"1104","25500","3009","86","1023","8.406647116","86","100"
"1104","25500","4002","93","1023","9.09090909","93","100"
"1104","25500","4003","78","1023","7.624633431","78","100"
"1104","25500","4004","84","1023","8.211143695","84","100"
"1104","25500","4005","30","1023","2.932551319","30","100"
"1106","31301","1004","180","779","23.106546854","180","100"
"1106","31301","1005","109","779","13.992297817","109","100"
"1106","31301","1006","49","779","6.290115532","49","100"
"1106","31301","2004","91","779","11.681643132","91","100"
"1106","31301","2005","73","779","9.370988446","73","100"
"1106","31301","2006","40","779","5.134788189","40","100"
"1106","31301","2009","64","779","8.215661103","64","100"
"1106","31301","2010","72","779","9.242618741","72","100"
"1106","31301","2011","101","779","12.965340179","101","100"
"1107","31301","1000","100","779","12.836970474","100","100"
"1107","31301","1001","89","779","11.424903722","89","100"
"1107","31301","1002","100","779","12.836970474","100","100"
"1107","31301","1003","83","779","10.654685494","83","100"
"1107","31301","2000","102","779","13.093709884","102","100"
"1107","31301","2001","98","779","12.580231065","98","100"
"1107","31301","2002","100","779","12.836970474","100","100"
"1107","31301","2003","107","779","13.735558408","107","100"
"1108","31201","4002","84","963","8.722741433","84","100"
"1108","31301","3000","25","963","2.596053997","25","100"
"1108","31301","3001","87","963","9.034267912","87","100"
"1108","31301","3002","92","963","9.553478712","92","100"
"1108","31301","3003","85","963","8.826583592","85","100"
"1108","31301","3004","104","963","10.799584631","104","100"
"1108","31301","3005","109","963","11.31879543","109","100"
"1108","31301","3006","112","963","11.63032191","112","100"
"1108","31301","3007","115","963","11.94184839","115","100"
"1108","31301","3008","126","963","13.084112149","126","100"
"1108","31301","3009","24","963","2.492211838","24","100"
"1109","26002","2002","1","839","0.119189511","1","100"
"1109","31201","1011","115","839","13.706793802","115","100"
"1109","31201","4000","145","839","17.282479141","145","100"
"1109","31201","4001","157","839","18.712753277","157","100"
"1109","31201","4003","93","839","11.084624553","93","100"
"1109","31201","4004","114","839","13.58760429","114","100"
"1109","31201","4005","105","839","12.514898688","105","100"
"1109","31202","1005","109","839","12.991656734","109","100"
"1111","31201","1006","90","979","9.193054136","90","100"
"1111","31201","1007","132","979","13.483146067","132","100"
"1111","31201","1008","107","979","10.929519918","107","100"
"1111","31201","1009","111","979","11.338100102","111","100"
"1111","31201","1010","120","979","12.257405515","120","100"
"1111","31202","1001","110","979","11.235955056","110","100"
"1111","31202","1002","108","979","11.031664964","108","100"
"1111","31202","1003","97","979","9.908069458","97","100"
"1111","31202","1004","104","979","10.62308478","104","100"
"1112","31201","1003","184","810","22.716049382","184","100"
"1112","31201","1005","150","810","18.518518518","150","100"
