PERSON WORKING,David Cary,,David Cary,,Chris J.,,Chris J.,,Chris J.,,Chris J.,,Chris J.,,Chris J.,,Chris J.,,Chris J.,,David Cary,,David Cary
,2010-11-02,,2010-06-08,,2008-11-04,,2008-06-03,,2006-11-07,,2006-06-06,,2004-11-02,,2004-03-02,,2002-11-05,,2002-03-05,,2000-11-07,,2000-03-07
Neighborhood,Registered,Turnout,Registered,Turnout,Registered,Turnout,Registered,Turnout,Registered,Turnout,Registered,Turnout,Registered,Turnout,Registered,Turnout,Registered,Turnout,Registered,Turnout,Registered,Turnout,Registered,Turnout
BAYVIEW/HUNTERS POINT,18274,8635,17236,4179,17692,12330,15835,5076,15513,6982,15654,4392,19831,11012,18309,4753,18535,5991,18335,4274,18991,9586,18748,5766
CHINATOWN,17530,9883,17041,5480,18489,14813,16616,6593,16238,9449,16278,5850,19467,14168,18052,7246,18491,8763,17114,5659,18789,12146,17733,7107
CIVIC CENTER/DOWNTOWN,26323,13731,24531,7632,27282,19926,23935,9213,22937,12454,22991,7498,28110,18461,24947,9180,23187,10125,23485,6852,29134,15634,27646,9932
DIAMOND HEIGHTS,6989,5241,6750,3176,7175,6270,6690,3292,6687,4761,6661,3110,7322,6101,6947,3858,7744,4663,7739,3418,7580,5792,7568,4383
EXCELSIOR (OUTER MISSION),25953,14118,25134,8088,25825,19791,23729,8712,22615,12540,22495,8763,31615,22155,29147,10930,35170,16580,35244,11630,36518,24443,34769,15386
HAIGHT ASHBURY,13679,8932,13077,4416,14405,12419,13022,5483,12929,8221,13087,4255,15281,11993,14508,6333,14156,7240,13994,4493,16046,10786,15725,7092
INGLESIDE,11738,6206,11285,3439,11646,8786,10484,3901,10102,5393,10038,3814,11780,8011,11126,4021,11122,5089,11063,3573,11812,7531,11514,4710
INNER SUNSET,9171,6045,8801,3183,9711,8228,8778,3603,8622,5569,8792,3299,10062,7819,9338,4362,11994,6341,11722,3956,13190,9330,12555,6065
LAKE MERCED,8122,4422,7689,2384,9275,7288,7407,2641,7352,4124,7736,2605,8796,6640,7771,3409,7219,3822,7125,2770,8888,5867,8410,3928
LAUREL HEIGHTS/ANZA VISTA,9356,5719,9010,2854,9837,8126,8653,3261,8573,5207,8871,3133,10533,7931,9569,4063,10188,4745,9857,2992,10827,7185,10239,4553
MARINA/PACIFIC HEIGHTS,37242,23455,36135,12186,39320,34176,34956,12846,34161,21152,35362,11549,40267,33273,37026,15963,40484,21065,39827,13177,47260,32751,45307,19576
MISSION,31159,19090,29836,9478,31182,25324,28107,12112,26737,16442,26781,8712,31155,22871,28818,11975,30020,14892,29183,9212,32627,20975,31117,13734
NOE VALLEY,16208,11781,15673,6575,8709,7537,15450,7253,15117,10590,15212,6271,16768,14088,15912,8328,16476,9417,16744,6382,18587,13759,18296,9939
NORTH BERNAL HTS,8666,5957,8393,3381,6567,5579,8084,3869,7746,5309,7794,3154,8758,6996,8237,4192,7772,4328,7530,2852,8049,5782,7059,3731
NORTH EMBARCADERO,6312,4011,6147,2332,16582,14754,5858,2435,5544,3503,5631,2176,6294,5033,5946,2752,5693,3088,5570,2065,6501,4462,6181,2893
PORTOLA,8477,4811,8214,2546,8341,6348,7692,2962,7487,4217,7452,3000,0,0,0,0,0,0,0,0,0,0,0,0
POTRERO HILL,11591,7413,10919,3734,11101,9412,9587,3567,8658,5417,8539,2793,9640,7254,8829,3733,8279,4144,7752,2491,8528,5632,8312,3693
RICHMOND,34487,20698,33589,11798,35459,28615,32361,13184,31883,19001,32091,12521,37060,27296,34089,14161,33144,16680,32579,11394,35130,24398,32847,15025
SEA CLIFF/PRESIDIO HEIGHTS,8294,5818,8076,3302,9420,7873,7921,3369,7794,5202,7902,3339,8873,7138,8315,4043,8838,5002,8759,3485,9538,7162,9619,5004
SOUTH BERNAL HEIGHT,9507,6240,9241,3530,8481,7363,8715,3899,8491,5571,8530,3372,9585,7371,8955,4137,7826,4237,7699,2884,8210,5701,8097,3987
SOUTH OF MARKET,18825,10584,17336,5188,18932,14455,15667,4896,14630,8065,14397,4078,16760,11337,13700,4770,12909,5542,11309,3052,13033,6941,11772,3830
SUNSET,39182,23602,38035,13504,40907,32372,37432,14750,36660,22285,36641,15179,41540,30305,38805,16459,38613,20452,37786,14356,39814,27901,38008,17624
UPPER MARKET/EUREKA VALLEY,18654,13670,17913,7851,18952,16843,17504,8918,17443,12656,17603,7653,19359,16354,18262,10048,17020,10172,16985,6995,19064,14102,18907,10694
VISITATION VALLEY,8421,4061,7992,1973,8108,5529,7445,2179,7218,3157,7236,2293,12547,7468,11423,3460,6537,2205,5783,1301,5910,3059,5839,1787
WEST OF TWIN PEAKS,32127,22736,31183,14120,33325,28546,30981,13958,30449,20593,30383,14539,33568,27217,31733,16776,28567,16865,28257,12766,29896,23146,29302,16772
WESTERN ADDITION,30127,17766,28749,9204,30928,25409,27350,11063,26699,15859,26937,8924,31966,23530,29184,11876,29524,13542,28575,8220,32714,19960,31891,12673
TOTAL,466414,284625,447985,155533,477651,388112,430259,173035,418285,253719,421094,156272,486937,361822,448948,190828,449508,224990,440016,150249,486636,324031,467461,209884
TOTAL (auto sum check),466414,284625,447985,155533,477651,388112,430259,173035,418285,253719,421094,156272,486937,361822,448948,190828,449508,224990,440016,150249,486636,324031,467461,209884
CHECK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,(Governor's race),,,,,,,,,,,,,,,,,,,,(president's race),,(president's race)

,,,,,,,,,,,,,,,,,,,,,,,not included - unsorted ballot type 3 (???):,not included - unsorted ballot type 3 (???):
,,,,,,,,,,,,,,,,,,,,,,,737,345
