Jurisdiction,State,Year,Election Date,Office
San Francisco,CA,2019,11/5/2019,City Attorney
San Francisco,CA,2019,11/5/2019,District Attorney
San Francisco,CA,2019,11/5/2019,Mayor
San Francisco,CA,2019,11/5/2019,Board of Supervisors District 5
San Francisco,CA,2019,11/5/2019,Public Defender
San Francisco,CA,2019,11/5/2019,Sheriff
San Francisco,CA,2019,11/5/2019,Treasurer
Las Cruces,NM,2019,11/5/2019,City Council District 1
Las Cruces,NM,2019,11/5/2019,City Council District 2
Las Cruces,NM,2019,11/5/2019,City Council District 4
Las Cruces,NM,2019,11/5/2019,Mayor
Portland,ME,2019,11/5/2019,Mayor
Santa Fe,NM,2019,11/5/2019,City Council District 1
Santa Fe,NM,2019,11/5/2019,City Council District 2
Santa Fe,NM,2019,11/5/2019,City Council District 3
Santa Fe,NM,2019,11/5/2019,City Council District 4
St. Louis Park,MN,2019,11/5/2019,City Council AL A
St. Louis Park,MN,2019,11/5/2019,City Council AL B
St. Louis Park,MN,2019,11/5/2019,Mayor
St. Paul,MN,2019,11/5/2019,City Council Ward 1
St. Paul,MN,2019,11/5/2019,City Council Ward 2
St. Paul,MN,2019,11/5/2019,City Council Ward 3
St. Paul,MN,2019,11/5/2019,City Council Ward 4
St. Paul,MN,2019,11/5/2019,City Council Ward 5
St. Paul,MN,2019,11/5/2019,City Council Ward 6
Telluride,CO,2019,11/5/2019,Mayor
Berkeley,CA,2018,11/6/2018,City Auditor
Berkeley,CA,2018,11/6/2018,City Council District 1
Berkeley,CA,2018,11/6/2018,City Council District 4
Berkeley,CA,2018,11/6/2018,City Council District 7
Berkeley,CA,2018,11/6/2018,City Council District 8
Maine,ME,2018,11/6/2018,Congressional District 2
Oakland,CA,2018,11/6/2018,City Auditor
Oakland,CA,2018,11/6/2018,City Council District 2
Oakland,CA,2018,11/6/2018,City Council District 4
Oakland,CA,2018,11/6/2018,City Council District 6
Oakland,CA,2018,11/6/2018,Mayor
Oakland,CA,2018,11/6/2018,School Director District 2
Oakland,CA,2018,11/6/2018,School Director District 4
Oakland,CA,2018,11/6/2018,School Director District 6
San Francisco,CA,2018,11/6/2018,Assessor-Recorder
San Francisco,CA,2018,11/6/2018,Board of Supervisors District 10
San Francisco,CA,2018,11/6/2018,Board of Supervisors District 2
San Francisco,CA,2018,11/6/2018,Board of Supervisors District 4
San Francisco,CA,2018,11/6/2018,Board of Supervisors District 6
San Francisco,CA,2018,11/6/2018,Mayor
San Francisco,CA,2018,11/6/2018,Public Defender
San Francisco,CA,2018,11/6/2018,Board of Supervisors District 8
San Leandro,CA,2018,11/6/2018,County Council District 1
San Leandro,CA,2018,11/6/2018,County Council District 3
San Leandro,CA,2018,11/6/2018,County Council District 5
San Leandro,CA,2018,11/6/2018,Mayor
St. Paul,MN,2018,8/14/2018,City Council Ward 4
Maine,ME,2018,6/12/2018,Congressional District 2 Primary
Maine,ME,2018,6/12/2018,"Governor, Democratic Primary"
San Francisco,CA,2018,6/5/2018,Board of Supervisors District 8
Santa Fe,NM,2018,3/6/2018,City Council District 2
Santa Fe,NM,2018,3/6/2018,City Council District 4
Santa Fe,NM,2018,3/6/2018,Mayor
Santa Fe,NM,2018,3/6/2018,City Council District 1
Santa Fe,NM,2018,3/6/2018,City Council District 3
Minneapolis,MN,2017,11/7/2017,Mayor
Minneapolis,MN,2017,11/7/2017,Park and Recreation Board District 1
Minneapolis,MN,2017,11/7/2017,Park and Recreation Board District 2
Minneapolis,MN,2017,11/7/2017,Park and Recreation Board District 3
Minneapolis,MN,2017,11/7/2017,Park and Recreation Board District 4
Minneapolis,MN,2017,11/7/2017,Park and Recreation Board District 5
Minneapolis,MN,2017,11/7/2017,Park and Recreation Board District 6
Minneapolis,MN,2017,11/7/2017,City Council Ward 1
Minneapolis,MN,2017,11/7/2017,City Council Ward 10
Minneapolis,MN,2017,11/7/2017,City Council Ward 11
Minneapolis,MN,2017,11/7/2017,City Council Ward 12
Minneapolis,MN,2017,11/7/2017,City Council Ward 13
Minneapolis,MN,2017,11/7/2017,City Council Ward 2
Minneapolis,MN,2017,11/7/2017,City Council Ward 3
Minneapolis,MN,2017,11/7/2017,City Council Ward 4
Minneapolis,MN,2017,11/7/2017,City Council Ward 5
Minneapolis,MN,2017,11/7/2017,City Council Ward 6
