place,state,date,office,title_case_winner,number_of_candidates,number_of_rounds,final_round_vote,final_round_percent,first_round_vote,first_round_percent,first_round_place,number_of_first_round_valid_votes,number_of_final_round_active_votes,total,final_round_winner_votes_over_first_round_valid,final_round_inactive,winners_consensus_value,condorcet,total_fully_ranked,ranked_multiple,first_round_undervote,first_round_overvote,later_round_inactive_by_overvote,later_round_inactive_by_abstention,later_round_inactive_by_ranking_limit,includes_duplicates,includes_skipped,top2_winners_vote_increased,top2_winners_fraction,top2_majority,top2_winner_over_40,effective_ballot_length_str,undervote,total_overvote,total_exhausted_by_overvote,ranked2,ranked_winner,two_repeated,three_repeated,total_skipped,irregular,total_exhausted,total_exhausted_not_by_overvote,total_involuntarily_exhausted,minneapolis_undervote,minneapolis_total,total_voluntarily_exhausted,come_from_behind,number_of_rounds,finalists,winner,exhausted_by_undervote,naive_tally,candidates,count_duplicates,any_repeat,validly_ranked_winner,margin_when_2_left,margin_when_winner_has_majority,"precinct_estimate(black,precinct_percent_cvap,precinct_participation)","precinct_estimate(black,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(black,precinct_percent_cvap,precinct_overvotes)","precinct_estimate(white,precinct_percent_cvap,precinct_participation)","precinct_estimate(white,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(white,precinct_percent_cvap,precinct_overvotes)","precinct_estimate(latin,precinct_percent_cvap,precinct_participation)","precinct_estimate(latin,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(latin,precinct_percent_cvap,precinct_overvotes)","precinct_estimate(latin,precinct_percent_sov,precinct_participation)","precinct_estimate(latin,precinct_percent_sov,precinct_ranked_finalists)","precinct_estimate(latin,precinct_percent_sov,precinct_overvotes)","precinct_estimate(asian,precinct_percent_cvap,precinct_participation)","precinct_estimate(asian,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(asian,precinct_percent_cvap,precinct_overvotes)","precinct_estimate(asian,precinct_percent_sov,precinct_participation)","precinct_estimate(asian,precinct_percent_sov,precinct_ranked_finalists)","precinct_estimate(asian,precinct_percent_sov,precinct_overvotes)","precinct_estimate(other,precinct_percent_cvap,precinct_participation)","precinct_estimate(other,precinct_percent_cvap,precinct_ranked_finalists)","precinct_estimate(other,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(black,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(black,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(black,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(white,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(white,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(white,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(latin,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(latin,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(latin,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(latin,precinct_percent_sov,precinct_participation)","ethnicity_estimate(latin,precinct_percent_sov,precinct_ranked_finalists)","ethnicity_estimate(latin,precinct_percent_sov,precinct_overvotes)","ethnicity_estimate(asian,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(asian,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(asian,precinct_percent_cvap,precinct_overvotes)","ethnicity_estimate(asian,precinct_percent_sov,precinct_participation)","ethnicity_estimate(asian,precinct_percent_sov,precinct_ranked_finalists)","ethnicity_estimate(asian,precinct_percent_sov,precinct_overvotes)","ethnicity_estimate(other,precinct_percent_cvap,precinct_participation)","ethnicity_estimate(other,precinct_percent_cvap,precinct_ranked_finalists)","ethnicity_estimate(other,precinct_percent_cvap,precinct_overvotes)",cvap_totals,asian_ethnic_cvap_totals,black_ethnic_cvap_totals,latin_ethnic_cvap_totals,white_ethnic_cvap_totals
,,,,"The winner of the election, or, in multiple winner contests, the hypothetical winner if the contest was single winner.","The number of non-candidates on the ballot, not including write-ins.",The number of rounds it takes for one candidate (the winner) to receive the majority of the non-exhausted votes. This number includes the round in which the winner receives the majority of the non-exhausted votes. This is based on a tabulator that doesn't eliminate more than one declared candidate per round.,The number of votes for the winner in the final round. The final round is the first round where the winner receives a majority of the non-exhausted votes.,The percent of votes for the winner in the final round. The final round is the first round where the winner receives a majority of the non-exhausted votes.,The number of votes for the winner in the first round.,The percent of votes for the winner in the first round.,"In terms of first round votes, what place the eventual winner came in.",The number of votes that were awarded to any candidate in the first round.,The number of votes that were awarded to any candidate in the final round.,This includes ballots with no marks.,The number of votes the winner receives in the final round divided by the number of valid votes in the first round.,The difference of first round valid votes and final round valid votes.,The percentage of valid first round votes that rank the winner in the top 3.,Is the winner the condorcet winner? The condorcet winner is the candidate that would win a 1-on-1 election versus any other candidate in the election. Note that this calculation depends on jurisdiction dependant rule variations.,"The number of voters that have validly used all available rankings on the ballot, or that have validly ranked all non-write-in candidates.",The number of voters that validly use more than one ranking.,"The number of ballots with absolutely no markings at all. Note that this is not the same as ""exhausted by undervote"". This is because some juristidictions (Maine) discard any ballot begining with two undervotes regardless of the rest of the content of the ballot, and call this ballot as exhausted by undervote.","The number of ballots with an overvote before any valid ranking. Note that this is not the same as ""exhausted by overvote"". This is because some juristidictions (Maine) discard any ballot begining with two undervotes, and call this ballot as exhausted by undervote, even if the undervotes are followed by an overvote. Other jursidictions (Minneapolis) simply skip over overvotes in a ballot.","The number of ballots that were discarded after the first round due to an overvote. Note that Minneapolis doesn't discard overvote ballots, it simply skips over the overvote.",The number of ballots that were discarded after the first round because not all rankings were used and it was not discarded because of an overvote. This factor will exclude all ballots with overvotes aside from those in Maine where more than one sequential undervote preceeds an overvote.,"The number of ballots that validly used every ranking, but didn't rank any candidate that appeared in the final round.","The number of ballots that rank the same candidate more than once, or include more than one write in candidate.",The number of ballots that have an undervote followed by an overvote or a valid ranking,"If you run an RCV contest until there are two or fewer candidates left, does the number of votes the winner receive increase from the first to the last round?","If you run an RCV contest until there are two or fewer candidates left, what fraction of the votes that cast validly ranked at least one candidate does the winner eventually receive?","If you run an RCV contest until there are two or fewer candidates left, Does the winner receive over half the votes that cast validly ranked at least one candidate?","If you run an RCV contest until there are two or fewer candidates left, Does the winner receive over 40% of the votes that cast validly ranked at least one candidate?","A list of validly ranked choices, and how many ballots had that number of valid choices.",Ballots completely made up of undervotes (no marks).,Number of ballots with at least one overvote.,,,How many ballots included a non-overvote ranking for the winner Contrast with validly_ranked_winner,"Number of ballots in which the candidate that received the maximum number of repeated rankings, received 2 repeated rankings","Number of ballots in which the candidate that received the maximum number of repeated rankings, received 3 repeated rankings",,"Number of ballots that either had a multiple ranking, overvote, or a skipped undervote",Number of ballots (including ballots made up of only undervotes or overvotes) that do not rank a finalist.,,Number of validly fully ranked ballots that do not rank a finalist.,"Number of ballots left blank, all ranks undervoted",Number of non-blank ballots. Ballots with at least one mark (even overvote),Number of ballots that do not rank a finalists and aren't fully ranked. This number includes ballots consisting of only undervotes or overvotes.,True if rcv winner is not first round leader,The number of rounds it takes for one candidate (the winner) to receive the majority of the non-exhausted votes. This number includes the round in which the winner receives the majority of the non-exhausted votes. This is based on a tabulator that doesn't eliminate more than one declared candidate per round.,,,,"Sometimes reported if only one round, only nominal 1st place rankings count",,,Number of ballots that included one at least one candidate that received more than once ranking,How many ballots marked the winner in a reachable rank (not a rank occurring after an exhaust condition),,,"partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.","partial(func, *args, **keywords) - new function with partial application of the given arguments and keywords.",,,,,
Cambridge,MA,2001,City Council,"Galluccio, Anthony D.",28,21,7415,0.5433428592364622,3230,0.18860212542333293,1,17126,13647,17688,0.43296741796099497,3479,0.3840359687025575,True,443,15812,199,533,162,3317,0,0,866,True,0.43296741796099497,False,True,0: 562; 1: 1314; 2: 1352; 3: 2572; 4: 2388; 5: 2170; 6: 2247; 7: 1613; 8: 1023; 9: 970; 10: 358; 11: 148; 12: 114; 13: 67; 14: 53; 15: 38; 16: 43; 17: 81; 18: 132; 19: 443,199,749,525,1352,9524,0,0,866,1414,4041,3516,0,562,17126,4041,False,21,"('Galluccio, Anthony D.', 'Davis, Henrietta')","Galluccio, Anthony D.",0,"Counter({'Galluccio, Anthony D.': 3203, 'Murphy, Brian': 1706, 'Davis, Henrietta': 1691, 'Decker, Marjorie C.': 1524, 'Toomey, Timothy J., Jr.': 1379, 'Simmons, Denise': 1322, 'Sullivan, Michael A.': 1277, 'Reeves, Kenneth E.': 1126, 'Pitkin, John': 1081, 'Maher, David P.': 1004, -2: 517, 'King, Ethridge A.': 369, 'Iskovitz, Steve': 338, -1: 287, 'Jens, Steven E.': 274, 'Hall, Robert L.': 149, 'Horowitz, Jacob': 147, 'Dixon, Vincent Lawrence': 86, 'Condit, James E., III': 62, 'Peixoto, Helder': 61, 'Williamson, James M.': 55, 'Write-In 1': 29, 'Write-In 2': 1})","{'Dixon, Vincent Lawrence', 'Jens, Steven E.', 'Write-In 3', 'Peixoto, Helder', 'Murphy, Brian', 'Horowitz, Jacob', 'Galluccio, Anthony D.', 'Write-In 1', 'Reeves, Kenneth E.', 'Davis, Henrietta', 'Hall, Robert L.', 'Pitkin, John', 'Write-In 2', 'Write-In 8', 'Write-In 4', 'Sullivan, Michael A.', 'Toomey, Timothy J., Jr.', 'Write-In 7', 'Simmons, Denise', 'Write-In 9', 'Write-In 5', 'Write-In 6', 'Williamson, James M.', 'Iskovitz, Steve', 'Condit, James E., III', 'King, Ethridge A.', 'Maher, David P.', 'Decker, Marjorie C.'}","Counter({1: 17126, 0: 562})",0,9524,1183,1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge,MA,2003,City Council,"Galluccio, Anthony D.",29,21,8008,0.5388963660834455,2994,0.14910358565737053,1,20080,14860,20958,0.398804780876494,5220,0.34337649402390436,True,588,18422,421,641,197,5022,1,0,1049,True,0.398804780876494,False,False,0: 878; 1: 1658; 2: 1743; 3: 3177; 4: 2893; 5: 2407; 6: 1914; 7: 1487; 8: 1169; 9: 1365; 10: 551; 11: 308; 12: 178; 13: 99; 14: 70; 15: 62; 16: 59; 17: 53; 18: 97; 19: 202; 20: 588,421,893,654,1743,10401,0,0,1049,1709,6098,5444,1,878,20080,6097,False,21,"('Galluccio, Anthony D.', 'Davis, Henrietta')","Galluccio, Anthony D.",0,"Counter({'Galluccio, Anthony D.': 2974, 'Davis, Henrietta': 1828, 'Sullivan, Michael A.': 1627, 'Toomey, Timothy J., Jr.': 1589, 'Reeves, Kenneth E.': 1505, 'Decker, Marjorie C.': 1361, 'Murphy, Brian': 1354, 'DeBergalis, Matt S.': 1200, 'Maher, David P.': 1173, 'Simmons, Denise': 1160, 'Pitkin, John': 1005, 'Kelley, Craig A.': 981, 'Bellew, Carole K.': 723, -2: 629, -1: 498, 'Smith, Aimee Louise': 475, 'King, Ethridge A., Jr.': 349, 'Taymorberry, Laurie': 175, 'LaTremouille, Robert J.': 121, 'Hall, Robert L., Sr.': 93, 'Dixon, Vincent Lawrence': 63, 'Greenwood, Dan J.': 39, 'Write-In 1': 35, 'Write-In 2': 1})","{'Dixon, Vincent Lawrence', 'Hall, Robert L., Sr.', 'Write-In 3', 'Taymorberry, Laurie', 'Murphy, Brian', 'Galluccio, Anthony D.', 'Write-In 1', 'Kelley, Craig A.', 'Greenwood, Dan J.', 'Reeves, Kenneth E.', 'Davis, Henrietta', 'Pitkin, John', 'Bellew, Carole K.', 'Write-In 2', 'Write-In 8', 'Write-In 4', 'Sullivan, Michael A.', 'Toomey, Timothy J., Jr.', 'King, Ethridge A., Jr.', 'Write-In 7', 'Simmons, Denise', 'Write-In 9', 'Write-In 5', 'Write-In 6', 'Maher, David P.', 'Decker, Marjorie C.', 'DeBergalis, Matt S.', 'LaTremouille, Robert J.', 'Smith, Aimee Louise'}","Counter({1: 20080, 0: 878})",0,10401,1156,1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge,MA,2003,School Committee,"Walser, Nancy",14,10,8080,0.5836041892379921,3842,0.20547652155310728,1,18698,13845,20908,0.43213177879987164,4853,0.41202267622205585,True,1587,15332,1835,510,115,4732,6,0,459,True,0.43213177879987164,False,True,0: 2210; 1: 3366; 2: 3121; 3: 4444; 4: 2335; 5: 2248; 6: 1006; 7: 591; 8: 1587,1835,651,490,3121,10136,0,0,459,974,7063,6573,6,2210,18698,7057,False,10,"('Walser, Nancy', 'Fantini, Alfred B.')","Walser, Nancy",0,"Counter({'Walser, Nancy': 3807, 'Fantini, Alfred B.': 2863, 'McGovern, Marc C.': 2683, 'Lummis, Ben': 2583, 'Harding, Richard, Jr.': 2315, 'Grassi, Joseph G.': 2261, -1: 1955, 'Price, Alan C.': 1292, 'Craig, Christopher': 552, -2: 501, 'Write-In 1': 93, 'Write-In 2': 2, 'Write-In 3': 1})","{'Craig, Christopher', 'Harding, Richard, Jr.', 'Write-In 1', 'Write-In 2', 'Write-In 4', 'Walser, Nancy', 'Write-In 5', 'Price, Alan C.', 'Write-In 6', 'McGovern, Marc C.', 'Fantini, Alfred B.', 'Write-In 3', 'Lummis, Ben', 'Grassi, Joseph G.'}","Counter({1: 18698, 0: 2210})",0,10136,2315,2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,CA,2004,District 1,Jake Mcgoldrick,7,6,14011,0.5401310717039322,11815,0.41042831833813875,1,28787,25940,30721,0.4867127522840171,2847,0.6033626289644631,True,19860,23292,1778,156,19,1371,1457,0,323,True,0.4867127522840171,False,True,0: 1934; 1: 5495; 2: 3432; 3: 19860,1778,242,175,3432,17369,0,0,323,555,4781,4606,1457,1934,28787,3324,False,6,"('Jake McGoldrick', 'Lillian Sing')",Jake McGoldrick,0,"Counter({'Jake McGoldrick': 11791, 'Lillian Sing': 8959, 'Matt Tuchow': 2859, 'David Heller': 2003, -1: 1875, 'Rose Tsui': 1581, 'Leanna Dawydiak': 1373, -2: 149, 'Jeffrey S. Freebairn': 131})","{'Lillian Sing', 'Matt Tuchow', 'Leanna Dawydiak', 'David Heller', 'Jake McGoldrick', 'Jeffrey S. Freebairn', 'Rose Tsui'}","Counter({1: 28787, 0: 1934})",0,17369,2082,2082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,CA,2004,District 11,Gerardo Sandoval,8,7,10679,0.5833287813404708,7477,0.32261822575077664,1,23176,18307,24902,0.46077839143942007,4869,0.533569209527097,True,16395,18779,1507,219,51,2292,2526,0,434,True,0.46077839143942007,False,True,0: 1726; 1: 4397; 2: 2384; 3: 16395,1507,340,270,2384,12366,0,0,434,748,6595,6325,2526,1726,23176,4069,False,7,"('Gerardo Sandoval', 'Myrna Viray Lim')",Gerardo Sandoval,0,"Counter({'Gerardo Sandoval': 7427, 'Myrna Viray Lim': 4259, 'Jose Medina': 2852, 'Anita Grier': 2787, 'Rolando A. Bonialla': 2279, 'Rebecca Reynolds Silverberg': 1810, -1: 1655, 'Tom Yuen': 1318, 'Fil M. Silverio': 307, -2: 208})","{'Gerardo Sandoval', 'Rolando A. Bonialla', 'Rebecca Reynolds Silverberg', 'Tom Yuen', 'Fil M. Silverio', 'Myrna Viray Lim', 'Jose Medina', 'Anita Grier'}","Counter({1: 23176, 0: 1726})",0,12366,3051,3051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,CA,2004,District 2,Michela Alioto-Pier,5,1,21118,0.6123289260032475,21118,0.6123289260032475,1,34488,34488,39462,0.6123289260032475,0,0.7682672233820459,True,18947,23098,4879,95,0,0,0,0,444,True,0.6895441892832289,True,True,0: 4974; 1: 11390; 2: 4151; 3: 18947,4879,202,95,4151,26496,0,0,444,634,4974,4879,0,4974,34488,4974,False,1,"('Michela Alioto-pier', 'Steve Braccini', 'David Pascal', 'Roger E. Schulke', 'Jay R. Shah')",Michela Alioto-pier,0,"Counter({'Michela Alioto-pier': 21013, 'Steve Braccini': 5763, -1: 5064, 'David Pascal': 4207, 'Roger E. Schulke': 1950, 'Jay R. Shah': 1375, -2: 90})","{'Michela Alioto-pier', 'Jay R. Shah', 'Steve Braccini', 'David Pascal', 'Roger E. Schulke'}","Counter({1: 34488, 0: 4974})",0,26496,15796,15327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,CA,2004,District 3,Arron Peskin,4,1,16177,0.624474039760664,16177,0.624474039760664,1,25905,25905,28317,0.624474039760664,0,0.7965257672264042,True,15950,18743,2338,74,0,0,0,0,359,True,0.6942289133371936,True,True,0: 2412; 1: 7162; 2: 2793; 3: 15950,2338,143,74,2793,20634,0,0,359,495,2412,2338,0,2412,25905,2412,False,1,"('Arron Peskin', ""Brian Murphy 0'flynn"", 'Eugene Chi-ching Wong', 'Sal Busalacchi')",Arron Peskin,0,"Counter({'Arron Peskin': 16120, ""Brian Murphy 0'flynn"": 4581, 'Eugene Chi-ching Wong': 3534, -1: 2476, 'Sal Busalacchi': 1536, -2: 70})","{'Eugene Chi-ching Wong', 'Arron Peskin', 'Sal Busalacchi', ""Brian Murphy 0'flynn""}","Counter({1: 25905, 0: 2412})",0,20634,11129,11573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,CA,2004,District 5,Ross Mirkarimi,22,20,13211,0.5059553444908276,9947,0.2833176678344584,1,35109,26111,39255,0.37628528297587516,8998,0.46976558717138056,True,28457,31206,3752,394,76,2959,5963,0,364,True,0.40995186419436613,False,True,0: 4146; 1: 3903; 2: 2749; 3: 28457,3752,560,470,2749,16493,0,0,364,883,13144,12674,5963,4146,35109,7181,False,20,"('Ross Mirkarimi', 'Robert Haaland', 'Lisa Feldstein')",Ross Mirkarimi,0,"Counter({'Ross Mirkarimi': 9928, 'Robert Haaland': 5096, -1: 3927, 'Lisa Feldstein': 3242, 'Nick Waugh': 3007, 'Andrew Sullivan': 2474, 'Bill Barnes': 1659, 'Jim Siegel': 1537, 'Dan Kalb': 1393, 'Susan C. King': 971, ""Michael E. O'connor"": 860, 'Brett Wheeler': 825, 'Joseph Blue': 792, 'Tys Sniffen': 684, 'Phoenix Streets': 654, 'Julian Davis': 412, 'Emmett Gilman': 390, -2: 373, 'Francis Somesel': 365, 'Rob Anderson': 332, 'Vivian Wilder': 129, 'Patrick M. Ciocca': 87, 'Phillip House': 61, 'H. Brown': 57})","{'Emmett Gilman', 'Vivian Wilder', 'Francis Somesel', 'Dan Kalb', 'Ross Mirkarimi', 'Brett Wheeler', 'Patrick M. Ciocca', 'Nick Waugh', 'Phillip House', 'Rob Anderson', 'Bill Barnes', 'Susan C. King', 'Lisa Feldstein', 'Julian Davis', ""Michael E. O'connor"", 'Andrew Sullivan', 'Jim Siegel', 'H. Brown', 'Robert Haaland', 'Tys Sniffen', 'Phoenix Streets', 'Joseph Blue'}","Counter({1: 35109, 0: 4146})",0,16493,6160,5939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,CA,2004,District 7,Sean R. Elsbernd,13,12,13834,0.5687153134635149,10505,0.3320269287904169,1,31639,24325,34905,0.4372451720977275,7314,0.5269129871361294,True,22105,26383,3030,236,40,3037,4237,0,367,True,0.4372451720977275,False,True,0: 3266; 1: 5256; 2: 4278; 3: 22105,3030,348,276,4278,16671,0,0,367,701,10580,10304,4237,3266,31639,6343,False,12,"('Sean R. Elsbernd', 'Christine Linnenbach')",Sean R. Elsbernd,0,"Counter({'Sean R. Elsbernd': 10475, 'Christine Linnenbach': 6764, -1: 3150, 'Isaac Wang': 2717, 'Gregory Corrales': 2550, 'Milton `Rennie` O`Brien': 2359, 'Vernon C. Grigg III': 2082, 'Shawn Reifsteck': 1103, 'Michael Patrick Mallen': 968, 'Pat Lakey': 760, 'Svelana Kaff': 541, 'Art Belenson': 507, 'Sheela Kini': 349, 'David Parker': 348, -2: 232})","{'Svelana Kaff', 'David Parker', 'Christine Linnenbach', 'Sheela Kini', 'Milton `Rennie` O`Brien', 'Vernon C. Grigg III', 'Michael Patrick Mallen', 'Art Belenson', 'Sean R. Elsbernd', 'Shawn Reifsteck', 'Isaac Wang', 'Pat Lakey', 'Gregory Corrales'}","Counter({1: 31639, 0: 3266})",0,16671,3343,3343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
