Precinct,1st Choice,2nd Choice,3rd Choice,count
MINNEAPOLIS W-5 P-09,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-03,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-5 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-05,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-09,Mike Talley Tate,Mike Talley Tate,Mike Talley Tate,1
MINNEAPOLIS W-3 P-11,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-3 P-11,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-3 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-07,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-08,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-4 P-01,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-3 P-07,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-4 P-03,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-03,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-04,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-03,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-5 P-08,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-6C,Kale Severson,Mike Talley Tate,UWI,1
MINNEAPOLIS W-5 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-4 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-05,Kale Severson,Kale Severson,Kale Severson,1
MINNEAPOLIS W-4 P-06,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-3 P-07,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-3 P-07,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-3 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-04,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-4 P-06,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-01,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-4 P-01,Kale Severson,Mike Talley Tate,UWI,1
MINNEAPOLIS W-3 P-11,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-5 P-01,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-02,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-5 P-08,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-4 P-06,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-4 P-08,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-5 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-04,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-4 P-08,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-03,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-4 P-04,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-05,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-03,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-3 P-07,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-4 P-05,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-02,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-5 P-04,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-3 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-04,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-03,Kale Severson,Kale Severson,Kale Severson,1
MINNEAPOLIS W-4 P-08,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-4 P-05,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-3 P-07,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-4 P-01,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-3 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-09,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-4 P-02,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-11,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-03,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-05,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-5 P-02,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-3 P-11,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-3 P-07,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-5 P-07,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-09,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-3 P-11,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-05,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-04,Mike Talley Tate,Kale Severson,UWI,1
MINNEAPOLIS W-5 P-09,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-3 P-11,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-5 P-01,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-4 P-05,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-07,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-3 P-07,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-3 P-07,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-07,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-5 P-04,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-04,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-3 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-03,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-5 P-04,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-6C,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-6C,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-11,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-4 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-07,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-4 P-06,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-09,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-08,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-11,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-06,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-4 P-01,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-4 P-04,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-3 P-11,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-3 P-07,UWI,undervote,undervote,1
MINNEAPOLIS W-5 P-6C,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-3 P-07,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-07,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-5 P-01,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-3 P-11,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-4 P-04,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-5 P-05,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-4 P-05,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-04,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-3 P-07,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-05,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-3 P-07,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-11,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-3 P-07,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-4 P-07,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-4 P-01,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-4 P-03,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-01,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-3 P-11,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-05,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-3 P-07,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-05,Mike Talley Tate,Kale Severson,Mike Talley Tate,1
MINNEAPOLIS W-5 P-02,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-02,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-5 P-05,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-3 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-04,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-5 P-09,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-04,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-5 P-07,Mike Talley Tate,Kale Severson,Mike Talley Tate,1
MINNEAPOLIS W-3 P-07,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-09,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-3 P-11,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-05,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-01,Kale Severson,Mike Talley Tate,Kale Severson,1
MINNEAPOLIS W-5 P-09,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-01,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-04,Kale Severson,Mike Talley Tate,UWI,1
MINNEAPOLIS W-5 P-02,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-01,Mike Talley Tate,Mike Talley Tate,undervote,1
MINNEAPOLIS W-4 P-08,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-08,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-01,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-4 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-07,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-3 P-11,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-4 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-5 P-07,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-09,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-4 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-04,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-05,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-11,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-04,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-3 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-08,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-08,Kale Severson,Kale Severson,Kale Severson,1
MINNEAPOLIS W-4 P-04,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-01,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-05,Kale Severson,Kale Severson,Kale Severson,1
MINNEAPOLIS W-3 P-11,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-01,Mike Talley Tate,Kale Severson,undervote,1
MINNEAPOLIS W-3 P-07,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-4 P-08,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-5 P-09,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-3 P-11,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-09,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-04,Kale Severson,Mike Talley Tate,Mike Talley Tate,1
MINNEAPOLIS W-5 P-07,Mike Talley Tate,UWI,UWI,1
MINNEAPOLIS W-5 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-02,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-01,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-3 P-11,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-01,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-07,Mike Talley Tate,Mike Talley Tate,Mike Talley Tate,1
MINNEAPOLIS W-5 P-04,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-4 P-03,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-5 P-07,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-3 P-07,Mike Talley Tate,undervote,undervote,1
MINNEAPOLIS W-4 P-03,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-5 P-09,Kale Severson,undervote,undervote,1
MINNEAPOLIS W-4 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-11,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-03,Kale Severson,Mike Talley Tate,undervote,1
MINNEAPOLIS W-4 P-07,Mike Talley Tate,undervote,undervote,1
