Precinct,rank1,rank2,rank3,weight
MINNEAPOLIS W-12 P-12,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-02,Andrew Johnson,Harrison Bullard,Will Jaeger,1
MINNEAPOLIS W-12 P-04,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-09,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-01,Andrew Johnson,Will Jaeger,Harrison Bullard,1
MINNEAPOLIS W-12 P-10,Andrew Johnson,UWI,undervote,1
MINNEAPOLIS W-12 P-12,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-13,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-01,Andrew Johnson,Will Jaeger,Harrison Bullard,1
MINNEAPOLIS W-12 P-01,Andrew Johnson,Andrew Johnson,Andrew Johnson,1
MINNEAPOLIS W-12 P-12,Andrew Johnson,Will Jaeger,undervote,1
MINNEAPOLIS W-12 P-08,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-10,Andrew Johnson,Harrison Bullard,Will Jaeger,1
MINNEAPOLIS W-12 P-02,Will Jaeger,Andrew Johnson,undervote,1
MINNEAPOLIS W-12 P-06,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-11,Andrew Johnson,Harrison Bullard,undervote,1
MINNEAPOLIS W-12 P-09,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-06,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-11,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-02,Andrew Johnson,Harrison Bullard,Will Jaeger,1
MINNEAPOLIS W-12 P-01,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Andrew Johnson,Will Jaeger,Harrison Bullard,1
MINNEAPOLIS W-12 P-03,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-02,Andrew Johnson,Will Jaeger,undervote,1
MINNEAPOLIS W-12 P-08,Andrew Johnson,Will Jaeger,Harrison Bullard,1
MINNEAPOLIS W-12 P-05,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-03,Will Jaeger,undervote,undervote,1
MINNEAPOLIS W-12 P-02,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-03,Andrew Johnson,Harrison Bullard,undervote,1
MINNEAPOLIS W-12 P-02,Andrew Johnson,Will Jaeger,Harrison Bullard,1
MINNEAPOLIS W-12 P-04,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Andrew Johnson,Will Jaeger,Harrison Bullard,1
MINNEAPOLIS W-12 P-02,Andrew Johnson,Harrison Bullard,Will Jaeger,1
MINNEAPOLIS W-12 P-10,Andrew Johnson,Will Jaeger,Harrison Bullard,1
MINNEAPOLIS W-12 P-04,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-01,Andrew Johnson,Will Jaeger,Harrison Bullard,1
MINNEAPOLIS W-12 P-05,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-05,Andrew Johnson,Will Jaeger,Harrison Bullard,1
MINNEAPOLIS W-12 P-03,Andrew Johnson,Harrison Bullard,Will Jaeger,1
MINNEAPOLIS W-12 P-01,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-04,Will Jaeger,Harrison Bullard,undervote,1
MINNEAPOLIS W-12 P-12,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-01,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-09,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-10,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-05,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-05,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-11,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-10,Andrew Johnson,undervote,UWI,1
MINNEAPOLIS W-12 P-09,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-05,Andrew Johnson,Harrison Bullard,Will Jaeger,1
MINNEAPOLIS W-12 P-13,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-09,Andrew Johnson,undervote,undervote,1
MINNEAPOLIS W-12 P-08,Andrew Johnson,Will Jaeger,undervote,1
MINNEAPOLIS W-12 P-12,Andrew Johnson,Will Jaeger,Harrison Bullard,1
MINNEAPOLIS W-12 P-03,Andrew Johnson,Will Jaeger,Harrison Bullard,1
MINNEAPOLIS W-12 P-10,Andrew Johnson,undervote,undervote,1
